customer_id,market,acquisition_channel,acquisition_date
C00548,LT,Affiliate,2025-10-01
C00549,LV,Paid Search,2025-07-09
C00550,LV,CRM,2025-09-25
C00551,EE,Paid Social,2025-02-09
C00552,LT,Organic Search,2025-03-13
C00553,LV,Organic Search,2025-08-31
C00554,LT,Paid Search,2025-10-14
C00555,LV,Organic Search,2025-05-22
C00556,LT,Paid Search,2025-10-14
C00557,LV,Paid Search,2025-03-20
C00558,LT,Affiliate,2025-07-26
C00559,LT,Paid Social,2025-01-02
C00560,LT,CRM,2025-04-22
C00561,LV,Paid Social,2025-07-06
C00562,LV,CRM,2025-05-28
C00563,LV,Paid Social,2025-06-15
C00564,LV,Affiliate,2025-04-06
C00565,LV,Paid Social,2025-01-28
C00566,LT,Paid Search,2025-03-07
C00567,LV,Organic Search,2025-05-01
C00568,LV,Paid Search,2025-07-16
C00569,LT,Paid Search,2025-07-25
C00570,LV,Paid Search,2025-08-06
C00571,LV,Paid Search,2025-09-08
C00572,LV,Paid Search,2025-02-27
C00573,LV,Paid Social,2025-05-05
C00574,LT,CRM,2025-02-10
C00575,LV,Paid Search,2025-06-16
C00576,LV,Paid Social,2025-08-16
C00577,LV,CRM,2025-09-29
C00578,LT,Paid Social,2025-09-09
C00579,EE,Paid Social,2025-01-15
C00580,EE,Paid Search,2025-07-19
C00581,LV,Paid Search,2025-10-23
C00582,LV,Affiliate,2025-01-04
C00583,LV,Affiliate,2025-08-14
C00584,LV,Paid Search,2025-09-05
C00585,LT,Organic Search,2025-03-13
C00586,LT,Paid Search,2025-03-07
C00587,LV,Affiliate,2025-06-26
C00588,LV,Affiliate,2025-06-25
C00589,LT,Paid Social,2025-01-17
C00590,LT,Paid Search,2025-05-06
C00591,LV,Paid Search,2025-10-27
C00592,LT,Organic Search,2025-08-22
C00593,LV,Organic Search,2025-06-16
C00594,EE,Paid Search,2025-05-05
C00595,LV,Paid Search,2025-06-25
C00596,LT,Organic Search,2025-10-15
C00597,EE,Paid Social,2025-08-17
C00598,EE,Affiliate,2025-06-17
C00599,LT,Paid Search,2025-10-22
C00600,LV,Paid Social,2025-05-13
C00601,EE,Organic Search,2025-04-14
C00602,LV,CRM,2025-04-17
C00603,LV,Paid Search,2025-09-08
C00604,EE,Organic Search,2025-04-28
C00605,EE,Organic Search,2025-02-19
C00606,LV,Organic Search,2025-05-08
C00607,LT,CRM,2025-01-25
C00608,LT,Paid Search,2025-07-07
C00609,EE,Affiliate,2025-04-04
C00610,LT,Organic Search,2025-01-25
C00611,EE,Paid Social,2025-03-11
C00612,LT,Paid Search,2025-05-05
C00613,LV,CRM,2025-03-19
C00614,EE,Organic Search,2025-08-21
C00615,LV,Paid Search,2025-09-07
C00616,LV,CRM,2025-07-02
C00617,LT,CRM,2025-07-15
C00618,EE,Organic Search,2025-01-21
C00619,LV,Affiliate,2025-01-15
C00620,EE,Paid Social,2025-10-03
C00621,EE,Organic Search,2025-10-14
C00622,LV,Paid Social,2025-07-01
C00623,LT,Paid Social,2025-09-11
C00624,EE,Paid Social,2025-10-10
C00625,EE,CRM,2025-04-25
C00626,LV,Organic Search,2025-02-02
C00627,LV,Organic Search,2025-10-28
C00628,EE,CRM,2025-04-02
C00629,LV,Organic Search,2025-10-13
C00630,EE,Paid Search,2025-09-13
C00631,LT,CRM,2025-08-16
C00632,EE,Paid Social,2025-03-21
C00633,LV,Paid Search,2025-10-28
C00634,EE,Organic Search,2025-02-07
C00635,LT,Paid Search,2025-08-05
C00636,LV,Paid Search,2025-03-23
C00637,LT,Paid Social,2025-01-22
C00638,EE,Paid Social,2025-04-13
C00639,LV,Organic Search,2025-03-28
C00640,LV,Organic Search,2025-08-19
C00641,LV,Paid Social,2025-07-18
C00642,EE,Organic Search,2025-07-29
C00643,EE,Paid Social,2025-08-15
C00644,LV,CRM,2025-03-08
C00645,LT,Paid Social,2025-08-17
C00646,LT,Paid Social,2025-05-08
C00647,LV,Affiliate,2025-04-11
C00648,LV,Affiliate,2025-01-06
C00649,LV,Paid Social,2025-02-13
C00650,LT,Paid Social,2025-02-24
C00651,LV,Organic Search,2025-07-18
C00652,LV,Affiliate,2025-05-15
C00653,LT,Organic Search,2025-07-31
C00654,LV,Paid Social,2025-01-31
C00655,LT,Organic Search,2025-02-03
C00656,LT,Paid Social,2025-08-25
C00657,EE,CRM,2025-07-15
C00658,EE,Affiliate,2025-05-24
C00659,EE,Paid Social,2025-02-18
C00660,LV,CRM,2025-08-31
C00661,EE,Organic Search,2025-03-03
C00662,LV,Paid Search,2025-01-13
C00663,LV,Paid Search,2025-08-21
C00664,LT,Organic Search,2025-07-22
C00665,LV,Organic Search,2025-05-01
C00666,LT,Organic Search,2025-02-15
C00667,LT,Organic Search,2025-01-10
C00668,LT,Paid Social,2025-03-26
C00669,LT,Paid Search,2025-04-11
C00670,LV,Organic Search,2025-06-02
C00671,LV,Paid Search,2025-01-01
C00672,LV,Organic Search,2025-09-03
C00673,LT,Affiliate,2025-05-24
C00674,LV,Paid Social,2025-03-25
C00675,EE,CRM,2025-09-11
C00676,EE,CRM,2025-07-22
C00677,LT,Organic Search,2025-06-21
C00678,LV,Organic Search,2025-03-21
C00679,LV,Paid Social,2025-09-02
C00680,EE,Organic Search,2025-01-14
C00681,LV,Paid Social,2025-08-29
C00682,LV,Paid Search,2025-05-21
C00683,LT,CRM,2025-04-01
C00684,LT,Paid Search,2025-08-31
C00685,EE,CRM,2025-03-03
C00686,LV,Paid Search,2025-04-14
C00687,LV,CRM,2025-06-13
C00688,LT,CRM,2025-03-22
C00689,LV,Paid Social,2025-06-24
C00690,LV,Paid Search,2025-09-08
C00691,LV,Paid Social,2025-05-19
C00692,LV,Paid Search,2025-02-25
C00693,LV,Organic Search,2025-05-22
C00694,LV,Affiliate,2025-07-16
C00695,LV,Paid Search,2025-03-30
C00696,LV,Paid Social,2025-04-22
C00697,LT,Paid Search,2025-01-12
C00698,LV,Paid Search,2025-10-27
C00699,LV,Paid Search,2025-01-27
C00700,EE,Paid Search,2025-02-09
C00701,LV,Paid Search,2025-05-20
C00702,LT,Paid Social,2025-05-06
C00703,LT,CRM,2025-09-26
C00704,LV,Paid Search,2025-02-07
C00705,EE,Affiliate,2025-05-10
C00706,LV,Paid Social,2025-07-17
C00707,LV,CRM,2025-08-24
