prospect_id,market,acquisition_channel,category_interest,device_type,engagement_score,assignment_date,converted
P00055,LV,Paid Search,Beauty,desktop,0.468,2025-07-07,0
P00056,LV,Affiliate,Pet Care,desktop,0.7708,2025-07-23,0
P00057,LT,Organic Search,Beauty,mobile,0.0857,2025-07-10,0
P00058,EE,Paid Social,Home,mobile,0.3191,2025-03-13,0
P00059,LT,Organic Search,Beauty,desktop,0.5435,2025-03-21,0
P00060,EE,Paid Social,Pet Care,mobile,0.3265,2025-07-03,0
P00061,LV,CRM,Beauty,desktop,0.5278,2025-10-28,1
P00062,LT,Affiliate,Electronics,desktop,0.0532,2025-09-24,0
P00063,EE,Paid Social,Electronics,mobile,0.463,2025-03-06,1
P00064,LV,CRM,Electronics,mobile,0.163,2025-02-19,0
P00065,EE,Paid Social,Pet Care,mobile,0.4776,2025-01-27,0
P00066,LV,CRM,Beauty,desktop,0.5525,2025-08-08,0
P00067,EE,Paid Search,Electronics,mobile,0.1971,2025-06-08,1
P00068,LT,Paid Social,Home,mobile,0.3108,2025-09-20,0
P00069,LV,Paid Social,Home,mobile,0.2209,2025-03-12,0
P00070,LV,Organic Search,Beauty,desktop,0.6972,2025-07-01,1
P00071,LV,Paid Search,Beauty,mobile,0.7464,2025-02-28,1
P00072,LT,Affiliate,Electronics,mobile,0.1076,2025-09-17,0
P00073,LV,CRM,Sports,mobile,0.3077,2025-02-13,1
P00074,LT,Paid Search,Home,desktop,0.1372,2025-07-20,1
P00075,LV,Paid Search,Pet Care,mobile,0.5413,2025-08-29,0
P00076,LT,Paid Social,Electronics,mobile,0.1489,2025-04-13,0
P00077,LV,CRM,Home,mobile,0.3924,2025-09-20,0
P00078,LV,Paid Search,Pet Care,mobile,0.2374,2025-06-21,1
P00079,LT,Paid Search,Beauty,mobile,0.3819,2025-05-04,0
P00080,LT,Paid Social,Electronics,mobile,0.4133,2025-08-29,1
P00081,LV,Paid Search,Sports,mobile,0.3771,2025-01-22,0
P00082,LV,CRM,Electronics,desktop,0.411,2025-06-19,0
P00083,LV,CRM,Home,mobile,0.4527,2025-02-12,1
P00084,EE,Paid Search,Beauty,mobile,0.6313,2025-08-13,0
P00085,LT,Affiliate,Home,mobile,0.4814,2025-02-09,0
P00086,LT,Paid Search,Home,mobile,0.6676,2025-08-17,1
P00087,EE,Paid Search,Beauty,mobile,0.1123,2025-06-22,0
P00088,LV,Organic Search,Beauty,desktop,0.3317,2025-10-07,0
P00089,LT,Paid Search,Beauty,mobile,0.3606,2025-06-10,1
P00090,EE,Paid Social,Electronics,desktop,0.5621,2025-07-21,0
P00091,LT,Paid Social,Beauty,desktop,0.6044,2025-02-25,0
P00092,LV,Paid Social,Sports,mobile,0.7046,2025-05-24,0
P00093,LT,Paid Social,Electronics,mobile,0.0674,2025-09-18,1
P00094,LV,Organic Search,Home,desktop,0.2346,2025-08-30,0
P00095,LV,Affiliate,Home,desktop,0.6246,2025-07-01,0
P00096,LV,Paid Social,Pet Care,desktop,0.5317,2025-06-02,1
P00097,EE,Paid Social,Beauty,mobile,0.3894,2025-05-20,0
P00098,LT,Paid Search,Sports,desktop,0.1855,2025-01-03,0
P00099,LV,Paid Search,Sports,desktop,0.8749,2025-10-21,0
P00100,EE,Paid Social,Electronics,mobile,0.251,2025-06-02,0
P00101,LV,Paid Search,Beauty,mobile,0.2689,2025-05-12,0
P00102,LV,Paid Social,Home,mobile,0.4328,2025-02-18,0
P00103,EE,Paid Social,Sports,mobile,0.2914,2025-01-06,0
P00104,LT,Organic Search,Beauty,mobile,0.4494,2025-06-01,0
P00105,LT,CRM,Sports,mobile,0.5772,2025-05-07,0
P00106,EE,Paid Search,Beauty,mobile,0.176,2025-03-26,0
P00107,EE,Paid Social,Beauty,mobile,0.8438,2025-08-22,1
P00108,LV,Affiliate,Home,desktop,0.5058,2025-02-11,0
P00109,LV,Paid Search,Electronics,desktop,0.5073,2025-06-02,1
P00110,LV,CRM,Pet Care,mobile,0.0674,2025-09-24,0
P00111,LV,Paid Social,Pet Care,mobile,0.4277,2025-07-15,0
P00112,LT,CRM,Pet Care,mobile,0.5485,2025-10-15,1
P00113,LV,Affiliate,Home,mobile,0.4144,2025-04-08,0
P00114,LT,Paid Social,Beauty,mobile,0.4775,2025-07-03,1
P00115,LV,Organic Search,Pet Care,mobile,0.8162,2025-09-05,0
P00116,LT,Paid Social,Pet Care,mobile,0.2151,2025-04-02,0
P00117,LV,Paid Social,Home,desktop,0.5672,2025-10-17,0
P00118,LV,Paid Social,Beauty,desktop,0.2815,2025-03-29,0
P00119,EE,Organic Search,Beauty,mobile,0.7086,2025-05-19,0
P00120,LT,CRM,Sports,mobile,0.2811,2025-07-23,0
P00121,LV,CRM,Sports,desktop,0.0863,2025-02-10,1
P00122,LT,Organic Search,Sports,mobile,0.159,2025-06-12,0
P00123,LT,CRM,Pet Care,mobile,0.072,2025-01-07,0
P00124,LV,Paid Social,Electronics,mobile,0.3076,2025-06-04,0
P00125,LT,Organic Search,Beauty,desktop,0.2132,2025-03-11,0
P00126,EE,CRM,Pet Care,mobile,0.6822,2025-03-11,0
P00127,EE,CRM,Home,mobile,0.1719,2025-05-24,0
P00128,LT,Affiliate,Beauty,mobile,0.3807,2025-04-18,0
P00129,LT,Organic Search,Sports,mobile,0.2267,2025-02-07,0
P00130,LV,Affiliate,Sports,desktop,0.1506,2025-10-02,0
P00131,LT,Affiliate,Home,mobile,0.2513,2025-08-09,0
P00132,LV,Paid Social,Sports,desktop,0.2587,2025-09-14,0
P00133,LT,Paid Social,Electronics,mobile,0.5651,2025-08-20,0
P00134,LV,Paid Search,Electronics,mobile,0.7364,2025-10-14,0
P00135,LV,Paid Social,Electronics,desktop,0.3004,2025-04-20,0
P00136,LV,CRM,Beauty,mobile,0.2939,2025-06-10,1
P00137,LT,Paid Social,Electronics,mobile,0.6632,2025-06-11,0
P00138,LV,Paid Social,Sports,mobile,0.146,2025-08-16,0
P00139,LV,Paid Social,Sports,mobile,0.1118,2025-09-11,0
P00140,LT,Affiliate,Electronics,desktop,0.2536,2025-05-07,0
P00141,LT,Paid Search,Sports,mobile,0.2612,2025-06-29,0
P00142,LT,Paid Search,Pet Care,mobile,0.5732,2025-05-30,0
P00143,LT,Affiliate,Pet Care,mobile,0.3139,2025-03-06,0
P00144,LT,Paid Social,Electronics,desktop,0.5452,2025-02-17,0
P00145,EE,CRM,Electronics,desktop,0.682,2025-08-23,1
P00146,LV,Affiliate,Home,mobile,0.8417,2025-03-09,0
P00147,LV,Organic Search,Sports,mobile,0.3884,2025-04-30,0
P00148,LV,Paid Search,Home,mobile,0.2466,2025-03-03,0
P00149,LV,CRM,Sports,desktop,0.1302,2025-03-10,0
P00150,LV,CRM,Pet Care,mobile,0.1623,2025-08-15,1
P00151,LT,CRM,Home,mobile,0.2862,2025-07-17,0
P00152,EE,CRM,Electronics,mobile,0.7602,2025-02-04,0
P00153,LT,Paid Social,Home,mobile,0.0661,2025-10-02,0
P00154,LT,Organic Search,Beauty,desktop,0.1833,2025-06-08,0
P00155,LT,CRM,Electronics,mobile,0.7384,2025-03-12,0
P00156,LT,Paid Search,Sports,mobile,0.7072,2025-05-20,1
P00157,LV,Organic Search,Beauty,mobile,0.5131,2025-04-11,0
P00158,LT,Paid Social,Home,desktop,0.4226,2025-05-02,0
P00159,LT,Organic Search,Beauty,mobile,0.5089,2025-07-21,1
P00160,LT,Affiliate,Home,mobile,0.2684,2025-01-26,0
P00161,EE,Paid Search,Electronics,desktop,0.2969,2025-04-24,1
P00162,LV,Organic Search,Electronics,mobile,0.3442,2025-04-20,0
P00163,LV,Paid Search,Home,desktop,0.2936,2025-08-03,0
P00164,LT,Paid Social,Beauty,mobile,0.6973,2025-09-06,1
P00165,EE,Organic Search,Beauty,desktop,0.4648,2025-04-07,0
P00166,LV,Paid Search,Sports,mobile,0.7357,2025-06-15,1
P00167,LV,Paid Social,Sports,mobile,0.6739,2025-04-24,0
P00168,LT,Affiliate,Sports,mobile,0.3887,2025-06-21,0
P00169,EE,Affiliate,Beauty,mobile,0.5904,2025-07-13,1
P00170,LT,Paid Social,Beauty,mobile,0.1976,2025-08-11,0
P00171,LV,Paid Social,Home,mobile,0.2663,2025-01-26,0
P00172,LT,Affiliate,Beauty,mobile,0.654,2025-03-01,1
P00173,LT,CRM,Sports,desktop,0.3172,2025-08-03,1
P00174,EE,Paid Search,Pet Care,mobile,0.4368,2025-02-04,1
P00175,LV,Paid Social,Home,desktop,0.3198,2025-07-10,1
P00176,EE,Paid Social,Beauty,desktop,0.6551,2025-06-26,1
P00177,LT,Organic Search,Home,mobile,0.2615,2025-07-12,0
P00178,LV,Affiliate,Pet Care,mobile,0.3123,2025-07-11,0
P00179,LT,Affiliate,Beauty,desktop,0.5555,2025-04-07,0
P00180,LT,CRM,Beauty,mobile,0.2787,2025-06-01,1
P00181,EE,Affiliate,Beauty,desktop,0.3877,2025-04-24,0
P00182,EE,Organic Search,Pet Care,mobile,0.1927,2025-02-06,0
P00183,LV,Affiliate,Home,desktop,0.3494,2025-10-19,0
P00184,LV,Paid Social,Home,mobile,0.7637,2025-03-28,0
P00185,LV,Paid Social,Electronics,mobile,0.0528,2025-10-01,0
P00186,LV,Paid Social,Beauty,mobile,0.457,2025-03-27,1
P00187,LV,Organic Search,Electronics,desktop,0.4842,2025-08-04,1
P00188,LV,Paid Search,Sports,desktop,0.2196,2025-02-26,1
P00189,LV,Organic Search,Sports,mobile,0.2749,2025-08-13,0
P00190,LV,Affiliate,Electronics,mobile,0.6826,2025-07-30,0
P00191,LT,Paid Social,Sports,desktop,0.3366,2025-09-04,1
P00192,EE,Organic Search,Beauty,mobile,0.1471,2025-08-22,0
P00193,LV,Organic Search,Sports,desktop,0.4691,2025-02-28,0
P00194,EE,CRM,Home,mobile,0.3056,2025-05-11,0
P00195,EE,CRM,Beauty,mobile,0.8827,2025-08-19,0
P00196,EE,CRM,Pet Care,desktop,0.1607,2025-10-24,0
P00197,LV,Organic Search,Sports,desktop,0.1569,2025-05-08,0
P00198,LT,Affiliate,Beauty,desktop,0.7091,2025-04-13,0
P00199,LV,Organic Search,Beauty,mobile,0.3683,2025-03-01,0
P00200,LV,Paid Search,Electronics,desktop,0.4132,2025-07-15,1
P00201,LT,Paid Search,Home,desktop,0.2775,2025-08-02,0
P00202,EE,Affiliate,Sports,mobile,0.6344,2025-07-08,0
P00203,LV,Paid Social,Beauty,desktop,0.027,2025-03-08,0
P00204,LV,CRM,Beauty,mobile,0.5319,2025-02-07,1
P00205,EE,Organic Search,Beauty,mobile,0.7556,2025-01-21,0
P00206,LV,CRM,Home,desktop,0.5593,2025-01-23,0
P00207,LT,Organic Search,Home,mobile,0.1375,2025-04-20,0
P00208,LT,Paid Search,Beauty,mobile,0.4934,2025-06-19,0
P00209,LV,Paid Social,Home,desktop,0.386,2025-06-11,1
P00210,LT,Affiliate,Home,desktop,0.3433,2025-06-26,1
P00211,EE,Paid Social,Beauty,mobile,0.5373,2025-06-06,0
P00212,LV,Organic Search,Home,mobile,0.4755,2025-09-03,0
P00213,EE,Paid Search,Beauty,mobile,0.364,2025-05-15,0
P00214,LV,Paid Search,Home,desktop,0.2413,2025-10-04,1
P00215,EE,Paid Search,Sports,mobile,0.1283,2025-04-29,1
P00216,LT,Paid Social,Pet Care,desktop,0.0537,2025-09-07,0
P00217,LV,Paid Search,Electronics,mobile,0.2654,2025-03-02,0
P00218,LV,Paid Search,Beauty,mobile,0.5689,2025-03-10,0
P00219,LT,Organic Search,Electronics,mobile,0.4824,2025-05-26,0
P00220,LT,Organic Search,Beauty,mobile,0.5229,2025-03-27,1
P00221,EE,CRM,Beauty,desktop,0.3998,2025-09-25,0
P00222,EE,CRM,Beauty,mobile,0.3635,2025-08-06,0
P00223,LT,Organic Search,Electronics,mobile,0.7908,2025-01-04,0
P00224,LV,Organic Search,Beauty,mobile,0.2408,2025-05-22,0
P00225,LT,CRM,Home,desktop,0.4699,2025-03-12,1
P00226,EE,Paid Social,Beauty,mobile,0.6378,2025-05-27,0
P00227,LV,Paid Search,Beauty,mobile,0.4444,2025-09-22,0
P00228,LT,Paid Social,Home,mobile,0.0971,2025-01-08,0
P00229,EE,Paid Social,Beauty,mobile,0.4201,2025-04-10,0
P00230,LT,CRM,Home,mobile,0.5925,2025-08-15,1
P00231,LV,Paid Social,Pet Care,desktop,0.6692,2025-05-18,1
P00232,LT,Affiliate,Pet Care,desktop,0.2302,2025-05-24,1
P00233,EE,Paid Social,Electronics,desktop,0.4506,2025-08-06,1
P00234,LT,Paid Social,Beauty,mobile,0.3256,2025-10-18,1
P00235,LT,Paid Social,Electronics,desktop,0.6147,2025-05-27,0
P00236,LV,Paid Social,Home,mobile,0.2495,2025-05-30,0
P00237,LV,CRM,Electronics,desktop,0.4946,2025-05-01,0
P00238,LV,Paid Social,Sports,mobile,0.1987,2025-02-12,1
P00239,LT,Paid Social,Sports,mobile,0.4434,2025-10-16,0
P00240,LV,Paid Search,Beauty,mobile,0.303,2025-03-11,1
P00241,LV,CRM,Sports,mobile,0.2271,2025-07-31,0
P00242,LT,Paid Social,Electronics,desktop,0.3283,2025-10-01,1
P00243,EE,Paid Search,Sports,desktop,0.421,2025-05-08,1
P00244,LV,Paid Social,Electronics,mobile,0.2555,2025-05-22,0
P00245,LV,Paid Social,Sports,desktop,0.4214,2025-06-23,0
P00246,LV,Paid Search,Pet Care,mobile,0.3029,2025-06-27,0
P00247,LV,Organic Search,Electronics,mobile,0.3614,2025-04-06,1
P00248,LV,Organic Search,Sports,mobile,0.4838,2025-03-20,0
P00249,LV,CRM,Home,mobile,0.4986,2025-09-06,1
P00250,LT,Organic Search,Sports,mobile,0.6735,2025-10-23,1
P00251,EE,Organic Search,Home,mobile,0.4726,2025-10-11,1
P00252,LV,CRM,Home,mobile,0.3925,2025-01-29,1
P00253,LV,Paid Social,Beauty,mobile,0.2875,2025-01-26,0
P00254,LT,Organic Search,Pet Care,mobile,0.5047,2025-09-26,0
P00255,LV,Organic Search,Electronics,mobile,0.5642,2025-06-06,0
P00256,LV,CRM,Electronics,mobile,0.2965,2025-01-28,0
P00257,LV,Paid Social,Home,mobile,0.5084,2025-10-03,0
P00258,EE,Organic Search,Home,desktop,0.5295,2025-01-31,0
P00259,LT,CRM,Electronics,mobile,0.3115,2025-07-17,0
P00260,LV,Paid Search,Beauty,desktop,0.1024,2025-06-20,0
P00261,EE,Paid Social,Electronics,desktop,0.6287,2025-05-12,0
P00262,EE,Organic Search,Beauty,mobile,0.3384,2025-04-27,1
P00263,LV,CRM,Electronics,desktop,0.3978,2025-01-16,0
P00264,EE,Paid Social,Sports,mobile,0.4324,2025-02-24,0
P00265,LV,CRM,Beauty,mobile,0.5359,2025-07-11,0
P00266,EE,Affiliate,Home,mobile,0.5505,2025-04-14,0
P00267,LV,Paid Search,Sports,mobile,0.6568,2025-07-14,0
P00268,EE,Paid Search,Beauty,mobile,0.5829,2025-01-21,0
P00269,LV,Organic Search,Electronics,mobile,0.4965,2025-09-22,0
P00270,EE,Organic Search,Home,mobile,0.6115,2025-06-15,0
P00271,LT,Organic Search,Electronics,mobile,0.119,2025-02-28,0
P00272,LV,Organic Search,Electronics,mobile,0.4082,2025-03-29,0
P00273,LT,Paid Search,Electronics,desktop,0.0664,2025-04-14,0
P00274,LT,Paid Search,Beauty,mobile,0.4506,2025-08-21,1
P00275,EE,CRM,Home,mobile,0.6259,2025-01-19,1
P00276,EE,Paid Search,Home,mobile,0.31,2025-04-10,0
P00277,LT,Organic Search,Electronics,mobile,0.1421,2025-04-14,1
P00278,LV,CRM,Pet Care,mobile,0.5296,2025-01-29,0
P00279,LT,Affiliate,Home,mobile,0.6784,2025-03-18,0
P00280,LV,Paid Search,Home,mobile,0.486,2025-09-12,1
P00281,LV,CRM,Sports,mobile,0.3187,2025-01-12,1
P00282,LV,Paid Social,Sports,mobile,0.1874,2025-02-24,0
P00283,LV,Paid Social,Home,desktop,0.3218,2025-04-12,0
P00284,LV,Paid Social,Sports,desktop,0.3065,2025-08-27,1
P00285,LT,Paid Social,Sports,mobile,0.4141,2025-10-06,1
P00286,LT,Organic Search,Beauty,mobile,0.3221,2025-05-30,0
P00287,LV,Affiliate,Home,mobile,0.3037,2025-06-26,0
P00288,LV,Organic Search,Pet Care,desktop,0.3172,2025-02-26,0
P00289,LV,Organic Search,Beauty,mobile,0.8032,2025-09-01,0
P00290,EE,Paid Search,Electronics,desktop,0.4721,2025-08-01,0
P00291,EE,Paid Social,Home,mobile,0.3998,2025-08-06,0
P00292,LV,Paid Social,Sports,mobile,0.7372,2025-03-14,0
P00293,LT,Paid Search,Beauty,mobile,0.8562,2025-02-09,1
P00294,EE,Organic Search,Home,mobile,0.5363,2025-02-12,0
P00295,EE,CRM,Beauty,mobile,0.3831,2025-07-09,1
P00296,LV,Paid Search,Electronics,desktop,0.523,2025-10-27,1
P00297,EE,Organic Search,Sports,mobile,0.2974,2025-03-03,1
P00298,LV,Paid Search,Pet Care,mobile,0.5858,2025-05-16,0
P00299,LT,Paid Search,Home,mobile,0.4787,2025-05-13,0
P00300,LT,Paid Search,Sports,mobile,0.2664,2025-07-20,0
P00301,LV,Affiliate,Sports,mobile,0.37,2025-09-04,0
P00302,LV,Paid Search,Beauty,mobile,0.2875,2025-07-16,0
P00303,LV,Paid Search,Electronics,mobile,0.3958,2025-01-13,0
P00304,EE,Paid Search,Electronics,mobile,0.2351,2025-01-22,0
P00305,LT,Paid Search,Electronics,mobile,0.7088,2025-03-14,1
P00306,LV,Organic Search,Beauty,desktop,0.6419,2025-06-14,0
P00307,LT,Paid Social,Pet Care,desktop,0.6629,2025-01-21,1
P00308,EE,Affiliate,Beauty,desktop,0.1939,2025-08-26,0
P00309,LV,Paid Search,Sports,mobile,0.2254,2025-01-23,1
P00310,LV,Paid Search,Home,mobile,0.4516,2025-04-13,0
P00311,LV,Paid Search,Sports,mobile,0.2891,2025-01-31,0
P00312,LV,CRM,Pet Care,mobile,0.2679,2025-03-29,0
P00313,LV,Paid Social,Pet Care,mobile,0.7355,2025-05-07,1
P00314,LT,Paid Search,Beauty,mobile,0.6469,2025-06-06,1
P00315,LV,Paid Social,Beauty,desktop,0.5491,2025-09-02,0
P00316,EE,Paid Social,Home,mobile,0.6194,2025-01-28,0
P00317,LT,CRM,Pet Care,desktop,0.2868,2025-02-03,1
P00318,LV,CRM,Sports,mobile,0.4106,2025-09-24,0
P00319,EE,Paid Social,Home,mobile,0.4479,2025-03-09,0
P00320,LV,Paid Search,Sports,mobile,0.5318,2025-03-20,0
P00321,EE,Paid Search,Home,mobile,0.0585,2025-03-25,0
P00322,LT,Paid Social,Beauty,mobile,0.7371,2025-06-01,0
P00323,EE,Paid Social,Sports,mobile,0.4873,2025-09-03,1
P00324,EE,Paid Social,Electronics,mobile,0.548,2025-08-07,0
P00325,LV,CRM,Pet Care,mobile,0.7849,2025-08-06,0
P00326,LT,Paid Social,Pet Care,mobile,0.3325,2025-07-12,0
P00327,LV,CRM,Sports,desktop,0.4377,2025-06-05,0
P00328,LT,Paid Search,Beauty,mobile,0.7203,2025-05-28,0
P00329,LT,Organic Search,Pet Care,desktop,0.7556,2025-09-01,0
P00330,LV,Paid Social,Sports,mobile,0.4387,2025-07-02,0
P00331,LT,Paid Search,Electronics,desktop,0.7018,2025-03-27,0
P00332,LV,Organic Search,Sports,mobile,0.7075,2025-01-07,0
P00333,LT,Affiliate,Sports,desktop,0.5904,2025-10-10,1
P00334,LV,CRM,Electronics,desktop,0.0724,2025-01-10,1
P00335,LV,Paid Social,Sports,mobile,0.603,2025-05-04,0
P00336,LV,CRM,Electronics,desktop,0.4502,2025-02-20,0
P00337,LT,Paid Social,Sports,mobile,0.1572,2025-06-10,1
P00338,LV,Affiliate,Beauty,mobile,0.5603,2025-02-23,0
P00339,LT,Affiliate,Electronics,mobile,0.6723,2025-07-06,0
P00340,LT,Paid Social,Sports,desktop,0.7691,2025-07-24,0
P00341,LV,Paid Social,Home,desktop,0.8863,2025-03-10,1
P00342,EE,Affiliate,Electronics,mobile,0.3744,2025-08-19,0
P00343,LV,Organic Search,Beauty,mobile,0.459,2025-02-26,1
P00344,EE,Paid Social,Electronics,desktop,0.7332,2025-05-06,0
P00345,LV,Paid Social,Beauty,desktop,0.2657,2025-08-05,0
P00346,EE,Paid Search,Sports,desktop,0.5993,2025-06-22,1
P00347,LT,Organic Search,Home,desktop,0.3416,2025-06-27,1
P00348,EE,CRM,Electronics,mobile,0.2935,2025-04-13,0
P00349,EE,Paid Search,Home,mobile,0.3325,2025-07-31,0
P00350,LV,Paid Social,Pet Care,mobile,0.3202,2025-08-05,0
P00351,LV,CRM,Pet Care,mobile,0.2516,2025-09-06,0
P00352,LV,Organic Search,Beauty,desktop,0.4004,2025-03-03,0
P00353,LV,Organic Search,Home,mobile,0.2628,2025-05-01,0
P00354,LT,Paid Search,Beauty,desktop,0.7229,2025-09-01,0
P00355,LV,Affiliate,Beauty,desktop,0.356,2025-01-28,1
P00356,LT,CRM,Electronics,mobile,0.5755,2025-07-25,1
P00357,LV,Paid Search,Beauty,desktop,0.406,2025-04-28,1
P00358,LV,Paid Social,Electronics,desktop,0.3366,2025-04-16,0
P00359,LT,Affiliate,Home,mobile,0.7021,2025-08-23,0
P00360,LV,Organic Search,Electronics,mobile,0.3803,2025-10-13,0
P00361,EE,Organic Search,Beauty,mobile,0.5783,2025-05-14,0
P00362,LV,Paid Social,Pet Care,desktop,0.6554,2025-09-13,0
P00363,LV,Affiliate,Home,mobile,0.7938,2025-09-09,1
P00364,LT,CRM,Beauty,desktop,0.071,2025-10-27,1
P00365,LV,Paid Search,Beauty,desktop,0.5214,2025-08-20,1
P00366,LV,Paid Social,Home,mobile,0.4008,2025-06-08,0
P00367,LV,Paid Search,Beauty,desktop,0.5106,2025-02-16,1
P00368,LT,Paid Search,Sports,mobile,0.3294,2025-08-25,1
P00369,LV,Paid Search,Electronics,mobile,0.1884,2025-01-09,0
P00370,LV,CRM,Electronics,mobile,0.1176,2025-08-05,1
P00371,LV,Paid Search,Electronics,mobile,0.5007,2025-10-23,1
P00372,LV,CRM,Pet Care,mobile,0.1797,2025-01-17,0
P00373,LT,CRM,Sports,mobile,0.4472,2025-10-13,0
P00374,EE,Paid Search,Electronics,mobile,0.0929,2025-02-22,1
P00375,LT,Paid Search,Home,desktop,0.2494,2025-08-01,0
P00376,LV,Paid Social,Beauty,mobile,0.4534,2025-09-22,0
P00377,EE,Paid Search,Electronics,desktop,0.4177,2025-01-19,1
P00378,LT,Affiliate,Sports,desktop,0.1986,2025-07-27,0
P00379,LT,Organic Search,Home,mobile,0.086,2025-09-19,0
P00380,LV,Paid Search,Home,mobile,0.5907,2025-09-17,0
P00381,EE,CRM,Pet Care,desktop,0.6325,2025-10-17,0
P00382,LV,Paid Social,Sports,mobile,0.4176,2025-02-23,0
P00383,LV,Paid Social,Beauty,mobile,0.3233,2025-10-14,0
P00384,EE,Paid Search,Electronics,desktop,0.1847,2025-08-23,0
P00385,EE,Organic Search,Home,mobile,0.5181,2025-03-03,1
P00386,LV,Affiliate,Home,desktop,0.356,2025-01-24,0
P00387,LT,Paid Search,Beauty,mobile,0.558,2025-04-09,0
P00388,LV,Organic Search,Beauty,mobile,0.5905,2025-01-10,0
P00389,LT,Affiliate,Home,desktop,0.5364,2025-04-03,1
P00390,LV,Paid Search,Beauty,desktop,0.6462,2025-05-02,1
P00391,LV,Affiliate,Sports,desktop,0.3005,2025-10-03,0
P00392,LT,Paid Search,Electronics,mobile,0.6848,2025-09-04,0
P00393,EE,CRM,Pet Care,mobile,0.6961,2025-08-10,1
P00394,LT,Affiliate,Sports,mobile,0.6671,2025-08-16,0
P00395,LT,Paid Search,Beauty,mobile,0.1992,2025-04-09,1
P00396,LT,Organic Search,Sports,mobile,0.7583,2025-10-17,0
