order_id,carrier,promised_date,delivered_date,on_time,delivery_cost
O000106,FastShip,2025-01-22,2025-01-22,1,6.8
O000107,EconomyBox,2025-02-17,2025-02-16,1,4.71
O000108,EconomyBox,2025-04-17,2025-04-17,1,4.4
O000109,BalticPost,2025-09-15,2025-09-14,1,3.61
O000110,BalticPost,2025-10-15,2025-10-14,1,4.79
O000111,BalticPost,2025-01-15,2025-01-14,1,4.26
O000112,BalticPost,2025-08-30,2025-08-30,1,4.3
O000113,BalticPost,2025-10-01,2025-10-01,1,4.22
O000114,BalticPost,2025-10-09,2025-10-08,1,4.63
O000115,BalticPost,2025-02-12,2025-02-15,0,4.77
O000116,FastShip,2025-07-12,2025-07-11,1,6.58
O000117,BalticPost,2025-08-08,2025-08-08,1,4.98
O000118,EconomyBox,2025-09-14,2025-09-14,1,5.36
O000119,BalticPost,2025-10-30,2025-10-29,1,3.77
O000120,FastShip,2025-03-06,2025-03-10,0,6.87
O000121,EconomyBox,2025-03-17,2025-03-17,1,4.65
O000122,FastShip,2025-01-24,2025-01-23,1,5.98
O000123,FastShip,2025-02-13,2025-02-13,1,5.03
O000124,FastShip,2025-01-26,2025-01-26,1,5.23
O000125,EconomyBox,2025-05-10,2025-05-09,1,3.99
O000126,FastShip,2025-06-09,2025-06-09,1,6.44
O000127,EconomyBox,2025-07-18,2025-07-17,1,3.5
O000128,EconomyBox,2025-02-06,2025-02-05,1,3.63
O000129,EconomyBox,2025-09-06,2025-09-05,1,5.39
O000130,EconomyBox,2025-10-13,2025-10-12,1,4.72
O000131,EconomyBox,2025-01-13,2025-01-13,1,2.91
O000132,EconomyBox,2025-06-13,2025-06-13,1,4.08
O000133,FastShip,2025-03-13,2025-03-12,1,5.5
O000134,BalticPost,2025-03-01,2025-03-01,1,4.51
O000135,BalticPost,2025-06-25,2025-06-24,1,5.74
O000136,BalticPost,2025-06-30,2025-06-30,1,5.05
O000137,EconomyBox,2025-01-31,2025-01-31,1,3.31
O000138,FastShip,2025-03-03,2025-03-03,1,5.32
O000139,EconomyBox,2025-04-21,2025-04-20,1,3.35
O000140,EconomyBox,2025-07-28,2025-07-27,1,4.06
O000141,FastShip,2025-05-01,2025-05-01,1,4.52
O000142,BalticPost,2025-09-12,2025-09-11,1,4.47
O000143,BalticPost,2025-10-30,2025-10-29,1,4.18
O000144,BalticPost,2025-08-23,2025-08-22,1,3.43
O000145,FastShip,2025-02-19,2025-02-19,1,5.24
O000146,BalticPost,2025-03-11,2025-03-10,1,4.48
O000147,BalticPost,2025-08-28,2025-08-28,1,4.65
O000148,EconomyBox,2025-10-04,2025-10-03,1,4.88
O000149,EconomyBox,2025-08-08,2025-08-08,1,4.36
O000150,FastShip,2025-10-26,2025-10-25,1,4.84
O000151,FastShip,2025-12-04,2025-12-03,1,4.95
O000152,FastShip,2025-02-25,2025-02-25,1,7.16
O000153,BalticPost,2025-01-22,2025-01-22,1,5.24
O000154,BalticPost,2025-03-06,2025-03-06,1,5.26
O000155,FastShip,2025-04-12,2025-04-12,1,5.93
O000156,BalticPost,2025-04-06,2025-04-05,1,4.51
O000157,EconomyBox,2025-05-05,2025-05-04,1,3.05
O000158,EconomyBox,2025-08-13,2025-08-12,1,4.55
O000159,EconomyBox,2025-04-12,2025-04-11,1,3.85
O000160,FastShip,2025-07-16,2025-07-15,1,4.9
O000161,BalticPost,2025-01-26,2025-01-25,1,4.14
O000162,FastShip,2025-01-07,2025-01-07,1,4.42
O000163,BalticPost,2025-07-13,2025-07-12,1,5.0
O000164,BalticPost,2025-08-01,2025-07-31,1,4.55
O000165,EconomyBox,2025-06-22,2025-06-23,0,5.37
O000166,EconomyBox,2025-06-05,2025-06-05,1,3.6
O000167,BalticPost,2025-06-19,2025-06-18,1,4.22
O000168,BalticPost,2025-03-30,2025-03-29,1,3.5
O000169,BalticPost,2025-05-08,2025-05-07,1,4.61
O000170,FastShip,2025-06-02,2025-06-02,1,5.52
O000171,BalticPost,2025-07-23,2025-07-23,1,3.66
O000172,FastShip,2025-07-22,2025-07-22,1,5.08
O000173,BalticPost,2025-10-06,2025-10-05,1,4.51
O000174,FastShip,2025-02-18,2025-02-18,1,5.61
O000175,EconomyBox,2025-03-21,2025-03-20,1,2.99
O000176,BalticPost,2025-04-21,2025-04-20,1,4.19
O000177,EconomyBox,2025-04-14,2025-04-13,1,3.37
O000178,FastShip,2025-05-24,2025-05-24,1,5.38
O000179,BalticPost,2025-06-13,2025-06-13,1,5.03
O000180,FastShip,2025-04-18,2025-04-17,1,5.15
O000181,BalticPost,2025-05-18,2025-05-18,1,4.85
O000182,BalticPost,2025-06-29,2025-06-29,1,5.48
O000183,BalticPost,2025-05-21,2025-05-21,1,4.13
O000184,BalticPost,2025-07-22,2025-07-21,1,4.36
O000185,FastShip,2025-03-21,2025-03-20,1,5.63
O000186,EconomyBox,2025-09-02,2025-09-01,1,3.84
O000187,BalticPost,2025-08-06,2025-08-05,1,4.66
O000188,FastShip,2025-09-15,2025-09-15,1,5.46
O000189,FastShip,2025-03-13,2025-03-13,1,5.15
O000190,FastShip,2025-10-22,2025-10-21,1,4.38
O000191,EconomyBox,2025-11-28,2025-11-28,1,3.02
O000192,BalticPost,2025-03-31,2025-03-30,1,5.15
O000193,BalticPost,2025-02-17,2025-02-16,1,5.16
O000194,FastShip,2025-08-02,2025-08-01,1,5.66
O000195,BalticPost,2025-07-05,2025-07-07,0,4.09
O000196,FastShip,2025-08-16,2025-08-15,1,5.0
O000197,BalticPost,2025-10-03,2025-10-03,1,4.89
O000198,FastShip,2025-07-10,2025-07-10,1,6.29
O000199,BalticPost,2025-08-29,2025-08-29,1,5.89
O000200,FastShip,2025-07-24,2025-07-25,0,5.47
O000201,EconomyBox,2025-06-05,2025-06-05,1,3.4
O000202,EconomyBox,2025-06-12,2025-06-12,1,3.3
O000203,FastShip,2025-08-11,2025-08-11,1,5.63
O000204,EconomyBox,2025-02-21,2025-02-20,1,3.35
O000205,EconomyBox,2025-08-03,2025-08-03,1,2.98
O000206,BalticPost,2025-04-09,2025-04-09,1,4.5
O000207,BalticPost,2025-03-01,2025-03-01,1,4.45
O000208,FastShip,2025-04-01,2025-03-31,1,5.05
O000209,EconomyBox,2025-09-08,2025-09-08,1,4.19
O000210,BalticPost,2025-03-20,2025-03-19,1,4.71
O000211,FastShip,2025-04-20,2025-04-19,1,4.75
O000212,BalticPost,2025-04-02,2025-04-02,1,5.67
O000213,FastShip,2025-06-03,2025-06-05,0,5.23
O000214,BalticPost,2025-03-14,2025-03-14,1,4.79
O000215,FastShip,2025-09-13,2025-09-12,1,4.92
O000216,EconomyBox,2025-02-05,2025-02-05,1,4.03
O000217,BalticPost,2025-02-23,2025-02-22,1,3.55
O000218,EconomyBox,2025-04-28,2025-05-01,0,2.96
O000219,BalticPost,2025-02-07,2025-02-06,1,4.79
O000220,FastShip,2025-03-26,2025-03-26,1,4.72
O000221,BalticPost,2025-07-11,2025-07-10,1,3.76
O000222,FastShip,2025-05-25,2025-05-24,1,5.5
O000223,BalticPost,2025-09-22,2025-09-22,1,3.43
O000224,BalticPost,2025-03-09,2025-03-08,1,4.79
O000225,BalticPost,2025-04-21,2025-04-20,1,5.76
O000226,BalticPost,2025-10-16,2025-10-15,1,5.37
O000227,FastShip,2025-06-04,2025-06-03,1,6.32
O000228,FastShip,2025-06-18,2025-06-17,1,7.16
O000229,FastShip,2025-08-04,2025-08-04,1,5.78
O000230,BalticPost,2025-07-14,2025-07-14,1,5.94
O000231,FastShip,2025-08-18,2025-08-17,1,6.9
O000232,FastShip,2025-03-18,2025-03-17,1,4.27
O000233,BalticPost,2025-03-10,2025-03-09,1,5.11
O000234,FastShip,2025-04-03,2025-04-02,1,6.03
O000235,FastShip,2025-01-04,2025-01-03,1,5.27
O000236,BalticPost,2025-04-11,2025-04-11,1,4.25
O000237,EconomyBox,2025-05-25,2025-05-24,1,4.88
O000238,EconomyBox,2025-04-16,2025-04-16,1,3.51
O000239,BalticPost,2025-08-31,2025-08-30,1,4.37
O000240,FastShip,2025-10-06,2025-10-06,1,5.47
O000241,BalticPost,2025-09-20,2025-09-19,1,3.86
O000242,BalticPost,2025-04-05,2025-04-05,1,4.45
O000243,BalticPost,2025-04-05,2025-04-04,1,4.03
O000244,BalticPost,2025-04-23,2025-04-22,1,3.99
O000245,EconomyBox,2025-05-24,2025-05-24,1,4.07
O000246,FastShip,2025-08-13,2025-08-17,0,5.43
O000247,FastShip,2025-10-16,2025-10-15,1,5.81
O000248,BalticPost,2025-06-02,2025-06-01,1,3.78
O000249,FastShip,2025-09-17,2025-09-16,1,6.56
O000250,EconomyBox,2025-02-23,2025-02-22,1,3.5
O000251,FastShip,2025-04-20,2025-04-20,1,6.35
O000252,EconomyBox,2025-05-22,2025-05-21,1,4.94
O000253,FastShip,2025-06-23,2025-06-23,1,6.79
O000254,FastShip,2025-04-23,2025-04-23,1,5.06
O000255,BalticPost,2025-02-11,2025-02-11,1,3.89
O000256,BalticPost,2025-03-20,2025-03-19,1,3.78
O000257,BalticPost,2025-05-14,2025-05-13,1,3.62
O000258,EconomyBox,2025-05-06,2025-05-06,1,3.16
O000259,EconomyBox,2025-08-22,2025-08-22,1,3.53
O000260,FastShip,2025-08-10,2025-08-10,1,5.3
O000261,BalticPost,2025-06-11,2025-06-11,1,3.83
O000262,BalticPost,2025-04-06,2025-04-05,1,4.74
O000263,FastShip,2025-10-23,2025-10-23,1,4.99
O000264,EconomyBox,2025-01-21,2025-01-21,1,3.83
O000265,FastShip,2025-07-26,2025-07-25,1,4.78
O000266,BalticPost,2025-08-19,2025-08-18,1,3.84
O000267,BalticPost,2025-10-15,2025-10-14,1,4.17
O000268,BalticPost,2025-11-10,2025-11-09,1,4.21
O000269,BalticPost,2025-05-25,2025-05-26,0,4.91
O000270,EconomyBox,2025-08-17,2025-08-16,1,3.96
O000271,BalticPost,2025-04-30,2025-04-30,1,4.76
O000272,EconomyBox,2025-10-22,2025-10-22,1,4.06
O000273,EconomyBox,2025-10-25,2025-10-24,1,3.62
O000274,FastShip,2025-06-30,2025-06-30,1,5.07
O000275,BalticPost,2025-09-29,2025-09-29,1,4.58
O000276,BalticPost,2025-04-09,2025-04-08,1,3.98
O000277,BalticPost,2025-04-11,2025-04-11,1,3.82
O000278,EconomyBox,2025-03-23,2025-03-24,0,3.91
O000279,FastShip,2025-07-12,2025-07-11,1,6.5
O000280,EconomyBox,2025-08-06,2025-08-09,0,4.76
O000281,EconomyBox,2025-04-23,2025-04-22,1,5.28
O000282,BalticPost,2025-06-08,2025-06-07,1,6.03
O000283,FastShip,2025-07-24,2025-07-23,1,6.73
O000284,EconomyBox,2025-06-16,2025-06-16,1,4.23
O000285,BalticPost,2025-09-21,2025-09-20,1,4.71
O000286,BalticPost,2025-09-14,2025-09-14,1,4.65
O000287,FastShip,2025-05-01,2025-04-30,1,6.98
O000288,FastShip,2025-07-11,2025-07-11,1,4.32
O000289,BalticPost,2025-07-25,2025-07-25,1,3.41
O000290,BalticPost,2025-01-31,2025-01-30,1,5.47
O000291,BalticPost,2025-01-09,2025-01-08,1,4.84
O000292,FastShip,2025-05-27,2025-05-26,1,4.29
O000293,EconomyBox,2025-07-07,2025-07-07,1,3.38
O000294,FastShip,2025-08-27,2025-08-27,1,4.86
O000295,FastShip,2025-07-25,2025-07-24,1,6.24
O000296,FastShip,2025-08-16,2025-08-16,1,5.87
O000297,FastShip,2025-10-08,2025-10-07,1,5.14
O000298,BalticPost,2025-11-10,2025-11-10,1,4.33
O000299,EconomyBox,2025-12-31,2025-12-31,1,3.94
O000300,BalticPost,2025-06-11,2025-06-10,1,4.13
O000301,FastShip,2025-07-06,2025-07-05,1,4.41
O000302,BalticPost,2025-06-08,2025-06-08,1,5.54
O000303,BalticPost,2025-09-06,2025-09-06,1,6.01
O000304,EconomyBox,2025-10-16,2025-10-16,1,4.13
O000305,BalticPost,2025-05-21,2025-05-21,1,4.6
O000306,FastShip,2025-07-06,2025-07-06,1,6.35
O000307,BalticPost,2025-02-12,2025-02-16,0,5.49
O000308,FastShip,2025-05-14,2025-05-13,1,5.46
O000309,BalticPost,2025-10-04,2025-10-03,1,5.13
O000310,BalticPost,2025-07-30,2025-07-29,1,4.38
O000311,FastShip,2025-09-06,2025-09-05,1,4.99
O000312,BalticPost,2025-09-20,2025-09-19,1,5.26
O000313,FastShip,2025-05-19,2025-05-19,1,5.44
O000314,BalticPost,2025-05-11,2025-05-11,1,4.56
O000315,FastShip,2025-04-23,2025-04-26,0,5.79
O000316,FastShip,2025-07-05,2025-07-04,1,5.81
O000317,BalticPost,2025-08-04,2025-08-04,1,5.39
O000318,EconomyBox,2025-09-29,2025-09-28,1,4.16
O000319,FastShip,2025-03-29,2025-03-28,1,6.22
O000320,FastShip,2025-05-09,2025-05-08,1,6.5
O000321,FastShip,2025-08-22,2025-08-21,1,4.39
O000322,BalticPost,2025-09-19,2025-09-19,1,3.59
O000323,EconomyBox,2025-06-14,2025-06-14,1,2.92
O000324,BalticPost,2025-08-02,2025-08-02,1,5.96
O000325,FastShip,2025-02-13,2025-02-13,1,5.63
O000326,EconomyBox,2025-09-21,2025-09-25,0,3.81
O000327,FastShip,2025-03-03,2025-03-03,1,5.26
O000328,EconomyBox,2025-07-11,2025-07-11,1,2.95
O000329,BalticPost,2025-08-07,2025-08-07,1,4.27
O000330,FastShip,2025-07-12,2025-07-12,1,6.4
O000331,BalticPost,2025-10-20,2025-10-20,1,5.55
O000332,FastShip,2025-07-12,2025-07-11,1,5.34
O000333,BalticPost,2025-01-04,2025-01-04,1,5.15
O000334,EconomyBox,2025-03-26,2025-03-26,1,4.82
O000335,FastShip,2025-06-04,2025-06-03,1,5.1
O000336,FastShip,2025-06-23,2025-06-22,1,4.26
O000337,BalticPost,2025-01-17,2025-01-17,1,4.58
O000338,BalticPost,2025-05-17,2025-05-19,0,4.47
O000339,BalticPost,2025-08-27,2025-08-27,1,4.49
O000340,EconomyBox,2025-05-12,2025-05-11,1,4.73
O000341,BalticPost,2025-10-15,2025-10-14,1,4.53
O000342,BalticPost,2025-08-24,2025-08-23,1,5.37
O000343,FastShip,2025-09-27,2025-09-26,1,6.51
O000344,BalticPost,2025-11-05,2025-11-05,1,4.21
O000345,FastShip,2025-12-02,2025-12-01,1,5.99
O000346,FastShip,2025-04-26,2025-04-26,1,6.25
O000347,FastShip,2025-03-29,2025-03-28,1,4.3
O000348,BalticPost,2025-05-28,2025-05-28,1,3.5
O000349,BalticPost,2025-06-21,2025-06-21,1,4.79
O000350,FastShip,2025-02-25,2025-02-25,1,5.07
O000351,BalticPost,2025-04-10,2025-04-10,1,4.21
O000352,EconomyBox,2025-01-15,2025-01-15,1,4.12
O000353,BalticPost,2025-03-01,2025-02-28,1,4.43
O000354,BalticPost,2025-03-28,2025-03-27,1,4.23
O000355,BalticPost,2025-10-10,2025-10-10,1,4.23
O000356,BalticPost,2025-01-22,2025-01-22,1,4.68
O000357,EconomyBox,2025-06-16,2025-06-15,1,3.49
O000358,FastShip,2025-06-20,2025-06-20,1,4.8
O000359,EconomyBox,2025-07-25,2025-07-24,1,3.25
O000360,EconomyBox,2025-07-30,2025-07-30,1,3.64
O000361,BalticPost,2025-09-18,2025-09-17,1,3.56
O000362,EconomyBox,2025-11-03,2025-11-02,1,3.79
O000363,FastShip,2025-05-02,2025-05-02,1,5.0
O000364,BalticPost,2025-08-08,2025-08-07,1,5.69
O000365,FastShip,2025-01-07,2025-01-07,1,4.94
O000366,FastShip,2025-03-07,2025-03-06,1,5.49
O000367,FastShip,2025-08-31,2025-08-31,1,5.3
O000368,EconomyBox,2025-10-04,2025-10-04,1,3.89
O000369,FastShip,2025-07-01,2025-07-01,1,5.09
O000370,FastShip,2025-03-03,2025-03-02,1,4.54
O000371,BalticPost,2025-06-25,2025-06-25,1,5.06
O000372,BalticPost,2025-07-27,2025-07-26,1,4.61
O000373,EconomyBox,2025-03-24,2025-03-23,1,4.09
O000374,FastShip,2025-04-18,2025-04-18,1,7.07
O000375,FastShip,2025-01-05,2025-01-04,1,4.23
O000376,BalticPost,2025-01-24,2025-01-25,0,4.07
O000377,FastShip,2025-08-09,2025-08-08,1,4.62
O000378,BalticPost,2025-09-16,2025-09-16,1,5.42
O000379,BalticPost,2025-10-13,2025-10-13,1,4.4
O000380,FastShip,2025-12-17,2025-12-17,1,6.27
O000381,BalticPost,2025-09-06,2025-09-05,1,4.95
O000382,BalticPost,2025-07-28,2025-07-28,1,5.74
O000383,FastShip,2025-01-25,2025-01-25,1,5.65
O000384,BalticPost,2025-09-20,2025-09-20,1,4.23
O000385,BalticPost,2025-03-09,2025-03-08,1,4.57
O000386,BalticPost,2025-04-12,2025-04-11,1,5.91
O000387,BalticPost,2025-03-30,2025-03-29,1,5.53
O000388,EconomyBox,2025-04-27,2025-04-27,1,4.62
O000389,EconomyBox,2025-10-07,2025-10-06,1,3.71
O000390,BalticPost,2025-10-16,2025-10-15,1,4.13
O000391,BalticPost,2025-07-17,2025-07-17,1,4.07
O000392,FastShip,2025-10-14,2025-10-14,1,5.47
O000393,BalticPost,2025-10-14,2025-10-13,1,4.45
O000394,EconomyBox,2025-11-06,2025-11-05,1,4.19
O000395,EconomyBox,2025-01-26,2025-01-25,1,4.18
O000396,EconomyBox,2025-08-31,2025-08-30,1,4.25
O000397,FastShip,2025-10-07,2025-10-07,1,7.05
O000398,FastShip,2025-02-15,2025-02-14,1,6.25
O000399,FastShip,2025-06-25,2025-06-24,1,6.03
O000400,FastShip,2025-10-11,2025-10-10,1,5.51
O000401,BalticPost,2025-11-03,2025-11-02,1,3.71
O000402,EconomyBox,2025-05-09,2025-05-09,1,5.24
O000403,FastShip,2025-07-12,2025-07-11,1,5.17
O000404,FastShip,2025-08-20,2025-08-20,1,5.19
O000405,BalticPost,2025-01-18,2025-01-20,0,6.08
O000406,FastShip,2025-05-06,2025-05-05,1,5.01
O000407,FastShip,2025-01-10,2025-01-10,1,4.39
O000408,BalticPost,2025-10-12,2025-10-11,1,3.64
O000409,BalticPost,2025-11-22,2025-11-22,1,4.0
O000410,EconomyBox,2025-03-22,2025-03-22,1,3.73
O000411,EconomyBox,2025-05-04,2025-05-05,0,5.39
O000412,EconomyBox,2025-10-17,2025-10-19,0,3.4
O000413,BalticPost,2025-09-08,2025-09-08,1,4.75
O000414,BalticPost,2025-06-11,2025-06-11,1,3.67
O000415,FastShip,2025-04-25,2025-04-25,1,5.54
O000416,BalticPost,2025-07-05,2025-07-05,1,4.31
O000417,BalticPost,2025-02-18,2025-02-17,1,5.76
O000418,EconomyBox,2025-05-03,2025-05-03,1,3.58
O000419,BalticPost,2025-07-12,2025-07-11,1,4.77
O000420,FastShip,2025-04-06,2025-04-05,1,5.68
O000421,FastShip,2025-09-13,2025-09-13,1,6.34
O000422,BalticPost,2025-10-09,2025-10-12,0,5.21
O000423,EconomyBox,2025-01-17,2025-01-16,1,3.99
O000424,BalticPost,2025-07-28,2025-07-28,1,3.72
O000425,FastShip,2025-09-11,2025-09-11,1,5.36
O000426,BalticPost,2025-09-24,2025-09-23,1,5.39
O000427,BalticPost,2025-10-25,2025-10-24,1,4.15
O000428,EconomyBox,2025-12-23,2025-12-22,1,4.35
O000429,BalticPost,2025-10-08,2025-10-07,1,5.41
O000430,EconomyBox,2025-11-18,2025-11-18,1,4.41
O000431,BalticPost,2025-01-20,2025-01-20,1,5.09
O000432,FastShip,2025-04-18,2025-04-17,1,6.0
O000433,FastShip,2025-08-08,2025-08-08,1,4.23
O000434,BalticPost,2025-09-10,2025-09-09,1,3.95
O000435,EconomyBox,2025-09-27,2025-09-28,0,3.36
O000436,BalticPost,2025-10-13,2025-10-13,1,4.1
O000437,BalticPost,2025-10-10,2025-10-09,1,5.34
O000438,FastShip,2025-11-05,2025-11-05,1,5.68
O000439,EconomyBox,2025-12-13,2025-12-12,1,3.83
O000440,BalticPost,2025-02-06,2025-02-05,1,3.75
O000441,BalticPost,2025-03-15,2025-03-15,1,3.81
O000442,BalticPost,2025-03-26,2025-03-25,1,4.56
O000443,FastShip,2025-10-06,2025-10-05,1,5.22
O000444,BalticPost,2025-11-09,2025-11-11,0,4.49
O000445,BalticPost,2025-06-02,2025-06-02,1,6.13
O000446,BalticPost,2025-08-08,2025-08-08,1,3.4
O000447,FastShip,2025-07-19,2025-07-18,1,5.45
O000448,EconomyBox,2025-07-01,2025-07-01,1,3.64
O000449,FastShip,2025-10-20,2025-10-20,1,6.32
O000450,EconomyBox,2025-08-12,2025-08-11,1,2.88
O000451,BalticPost,2025-10-19,2025-10-19,1,4.6
O000452,BalticPost,2025-03-01,2025-02-28,1,5.19
O000453,BalticPost,2025-06-06,2025-06-06,1,4.72
O000454,FastShip,2025-06-25,2025-06-24,1,4.9
O000455,BalticPost,2025-07-30,2025-07-29,1,3.85
O000456,EconomyBox,2025-09-28,2025-09-27,1,3.21
O000457,BalticPost,2025-01-06,2025-01-05,1,4.51
O000458,FastShip,2025-02-16,2025-02-16,1,4.34
O000459,BalticPost,2025-04-10,2025-04-09,1,3.81
O000460,BalticPost,2025-10-07,2025-10-07,1,5.43
O000461,EconomyBox,2025-11-05,2025-11-05,1,4.59
O000462,BalticPost,2025-12-08,2025-12-07,1,4.09
O000463,BalticPost,2025-04-26,2025-04-26,1,4.65
O000464,EconomyBox,2025-06-11,2025-06-11,1,5.24
O000465,BalticPost,2025-07-19,2025-07-19,1,3.87
O000466,FastShip,2025-08-06,2025-08-05,1,5.26
