prospect_id,experiment_id,treatment,assignment_date
P00208,free_shipping_threshold,treatment,2025-06-19
P00209,free_shipping_threshold,treatment,2025-06-11
P00210,free_shipping_threshold,treatment,2025-06-26
P00211,free_shipping_threshold,control,2025-06-06
P00212,free_shipping_threshold,treatment,2025-09-03
P00213,free_shipping_threshold,control,2025-05-15
P00214,free_shipping_threshold,treatment,2025-10-04
P00215,free_shipping_threshold,treatment,2025-04-29
P00216,free_shipping_threshold,control,2025-09-07
P00217,free_shipping_threshold,control,2025-03-02
P00218,free_shipping_threshold,control,2025-03-10
P00219,free_shipping_threshold,control,2025-05-26
P00220,free_shipping_threshold,control,2025-03-27
P00221,free_shipping_threshold,treatment,2025-09-25
P00222,free_shipping_threshold,treatment,2025-08-06
P00223,free_shipping_threshold,treatment,2025-01-04
P00224,free_shipping_threshold,control,2025-05-22
P00225,free_shipping_threshold,control,2025-03-12
P00226,free_shipping_threshold,control,2025-05-27
P00227,free_shipping_threshold,control,2025-09-22
P00228,free_shipping_threshold,control,2025-01-08
P00229,free_shipping_threshold,treatment,2025-04-10
P00230,free_shipping_threshold,control,2025-08-15
P00231,free_shipping_threshold,treatment,2025-05-18
P00232,free_shipping_threshold,treatment,2025-05-24
P00233,free_shipping_threshold,treatment,2025-08-06
P00234,free_shipping_threshold,treatment,2025-10-18
P00235,free_shipping_threshold,treatment,2025-05-27
P00236,free_shipping_threshold,control,2025-05-30
P00237,free_shipping_threshold,control,2025-05-01
P00238,free_shipping_threshold,treatment,2025-02-12
P00239,free_shipping_threshold,treatment,2025-10-16
P00240,free_shipping_threshold,treatment,2025-03-11
P00241,free_shipping_threshold,treatment,2025-07-31
P00242,free_shipping_threshold,treatment,2025-10-01
P00243,free_shipping_threshold,treatment,2025-05-08
P00244,free_shipping_threshold,control,2025-05-22
P00245,free_shipping_threshold,control,2025-06-23
P00246,free_shipping_threshold,control,2025-06-27
P00247,free_shipping_threshold,control,2025-04-06
P00248,free_shipping_threshold,control,2025-03-20
P00249,free_shipping_threshold,treatment,2025-09-06
P00250,free_shipping_threshold,treatment,2025-10-23
P00251,free_shipping_threshold,control,2025-10-11
P00252,free_shipping_threshold,control,2025-01-29
P00253,free_shipping_threshold,control,2025-01-26
P00254,free_shipping_threshold,treatment,2025-09-26
P00255,free_shipping_threshold,treatment,2025-06-06
P00256,free_shipping_threshold,treatment,2025-01-28
P00257,free_shipping_threshold,treatment,2025-10-03
P00258,free_shipping_threshold,treatment,2025-01-31
P00259,free_shipping_threshold,treatment,2025-07-17
P00260,free_shipping_threshold,treatment,2025-06-20
P00261,free_shipping_threshold,control,2025-05-12
P00262,free_shipping_threshold,treatment,2025-04-27
P00263,free_shipping_threshold,control,2025-01-16
P00264,free_shipping_threshold,treatment,2025-02-24
P00265,free_shipping_threshold,treatment,2025-07-11
P00266,free_shipping_threshold,control,2025-04-14
P00267,free_shipping_threshold,control,2025-07-14
P00268,free_shipping_threshold,control,2025-01-21
P00269,free_shipping_threshold,control,2025-09-22
P00270,free_shipping_threshold,treatment,2025-06-15
P00271,free_shipping_threshold,control,2025-02-28
P00272,free_shipping_threshold,control,2025-03-29
P00273,free_shipping_threshold,treatment,2025-04-14
P00274,free_shipping_threshold,treatment,2025-08-21
P00275,free_shipping_threshold,treatment,2025-01-19
P00276,free_shipping_threshold,treatment,2025-04-10
P00277,free_shipping_threshold,control,2025-04-14
P00278,free_shipping_threshold,control,2025-01-29
P00279,free_shipping_threshold,treatment,2025-03-18
P00280,free_shipping_threshold,control,2025-09-12
P00281,free_shipping_threshold,control,2025-01-12
P00282,free_shipping_threshold,treatment,2025-02-24
P00283,free_shipping_threshold,control,2025-04-12
P00284,free_shipping_threshold,treatment,2025-08-27
P00285,free_shipping_threshold,control,2025-10-06
P00286,free_shipping_threshold,treatment,2025-05-30
P00287,free_shipping_threshold,control,2025-06-26
P00288,free_shipping_threshold,control,2025-02-26
P00289,free_shipping_threshold,treatment,2025-09-01
P00290,free_shipping_threshold,control,2025-08-01
P00291,free_shipping_threshold,control,2025-08-06
P00292,free_shipping_threshold,control,2025-03-14
P00293,free_shipping_threshold,control,2025-02-09
P00294,free_shipping_threshold,treatment,2025-02-12
P00295,free_shipping_threshold,control,2025-07-09
P00296,free_shipping_threshold,treatment,2025-10-27
P00297,free_shipping_threshold,treatment,2025-03-03
P00298,free_shipping_threshold,treatment,2025-05-16
P00299,free_shipping_threshold,treatment,2025-05-13
P00300,free_shipping_threshold,control,2025-07-20
P00301,free_shipping_threshold,treatment,2025-09-04
P00302,free_shipping_threshold,control,2025-07-16
P00303,free_shipping_threshold,control,2025-01-13
P00304,free_shipping_threshold,treatment,2025-01-22
P00305,free_shipping_threshold,treatment,2025-03-14
P00306,free_shipping_threshold,control,2025-06-14
P00307,free_shipping_threshold,treatment,2025-01-21
P00308,free_shipping_threshold,control,2025-08-26
P00309,free_shipping_threshold,treatment,2025-01-23
P00310,free_shipping_threshold,treatment,2025-04-13
P00311,free_shipping_threshold,treatment,2025-01-31
P00312,free_shipping_threshold,control,2025-03-29
P00313,free_shipping_threshold,treatment,2025-05-07
P00314,free_shipping_threshold,treatment,2025-06-06
P00315,free_shipping_threshold,control,2025-09-02
P00316,free_shipping_threshold,treatment,2025-01-28
P00317,free_shipping_threshold,treatment,2025-02-03
P00318,free_shipping_threshold,control,2025-09-24
P00319,free_shipping_threshold,control,2025-03-09
P00320,free_shipping_threshold,treatment,2025-03-20
P00321,free_shipping_threshold,control,2025-03-25
P00322,free_shipping_threshold,treatment,2025-06-01
P00323,free_shipping_threshold,control,2025-09-03
P00324,free_shipping_threshold,treatment,2025-08-07
P00325,free_shipping_threshold,control,2025-08-06
P00326,free_shipping_threshold,treatment,2025-07-12
P00327,free_shipping_threshold,treatment,2025-06-05
P00328,free_shipping_threshold,treatment,2025-05-28
P00329,free_shipping_threshold,control,2025-09-01
P00330,free_shipping_threshold,treatment,2025-07-02
P00331,free_shipping_threshold,control,2025-03-27
P00332,free_shipping_threshold,treatment,2025-01-07
P00333,free_shipping_threshold,control,2025-10-10
P00334,free_shipping_threshold,control,2025-01-10
P00335,free_shipping_threshold,control,2025-05-04
P00336,free_shipping_threshold,control,2025-02-20
P00337,free_shipping_threshold,treatment,2025-06-10
P00338,free_shipping_threshold,treatment,2025-02-23
P00339,free_shipping_threshold,control,2025-07-06
P00340,free_shipping_threshold,treatment,2025-07-24
P00341,free_shipping_threshold,treatment,2025-03-10
P00342,free_shipping_threshold,treatment,2025-08-19
P00343,free_shipping_threshold,control,2025-02-26
P00344,free_shipping_threshold,treatment,2025-05-06
P00345,free_shipping_threshold,control,2025-08-05
P00346,free_shipping_threshold,treatment,2025-06-22
P00347,free_shipping_threshold,control,2025-06-27
P00348,free_shipping_threshold,treatment,2025-04-13
P00349,free_shipping_threshold,treatment,2025-07-31
P00350,free_shipping_threshold,control,2025-08-05
P00351,free_shipping_threshold,control,2025-09-06
P00352,free_shipping_threshold,control,2025-03-03
P00353,free_shipping_threshold,control,2025-05-01
P00354,free_shipping_threshold,control,2025-09-01
P00355,free_shipping_threshold,control,2025-01-28
P00356,free_shipping_threshold,treatment,2025-07-25
P00357,free_shipping_threshold,control,2025-04-28
P00358,free_shipping_threshold,control,2025-04-16
P00359,free_shipping_threshold,treatment,2025-08-23
P00360,free_shipping_threshold,treatment,2025-10-13
P00361,free_shipping_threshold,treatment,2025-05-14
P00362,free_shipping_threshold,control,2025-09-13
P00363,free_shipping_threshold,control,2025-09-09
P00364,free_shipping_threshold,treatment,2025-10-27
P00365,free_shipping_threshold,treatment,2025-08-20
P00366,free_shipping_threshold,control,2025-06-08
P00367,free_shipping_threshold,control,2025-02-16
P00368,free_shipping_threshold,treatment,2025-08-25
P00369,free_shipping_threshold,control,2025-01-09
P00370,free_shipping_threshold,treatment,2025-08-05
P00371,free_shipping_threshold,treatment,2025-10-23
P00372,free_shipping_threshold,control,2025-01-17
P00373,free_shipping_threshold,treatment,2025-10-13
P00374,free_shipping_threshold,control,2025-02-22
P00375,free_shipping_threshold,treatment,2025-08-01
P00376,free_shipping_threshold,control,2025-09-22
P00377,free_shipping_threshold,control,2025-01-19
P00378,free_shipping_threshold,control,2025-07-27
P00379,free_shipping_threshold,control,2025-09-19
P00380,free_shipping_threshold,treatment,2025-09-17
P00381,free_shipping_threshold,control,2025-10-17
P00382,free_shipping_threshold,treatment,2025-02-23
P00383,free_shipping_threshold,control,2025-10-14
P00384,free_shipping_threshold,treatment,2025-08-23
P00385,free_shipping_threshold,treatment,2025-03-03
P00386,free_shipping_threshold,control,2025-01-24
P00387,free_shipping_threshold,control,2025-04-09
P00388,free_shipping_threshold,treatment,2025-01-10
P00389,free_shipping_threshold,treatment,2025-04-03
P00390,free_shipping_threshold,treatment,2025-05-02
P00391,free_shipping_threshold,control,2025-10-03
P00392,free_shipping_threshold,treatment,2025-09-04
P00393,free_shipping_threshold,treatment,2025-08-10
P00394,free_shipping_threshold,control,2025-08-16
P00395,free_shipping_threshold,treatment,2025-04-09
P00396,free_shipping_threshold,treatment,2025-10-17
P00397,free_shipping_threshold,control,2025-01-02
P00398,free_shipping_threshold,treatment,2025-08-18
P00399,free_shipping_threshold,control,2025-02-02
P00400,free_shipping_threshold,control,2025-06-24
P00401,free_shipping_threshold,treatment,2025-07-13
P00402,free_shipping_threshold,treatment,2025-02-22
P00403,free_shipping_threshold,treatment,2025-01-23
P00404,free_shipping_threshold,control,2025-08-28
P00405,free_shipping_threshold,control,2025-04-25
P00406,free_shipping_threshold,treatment,2025-01-04
P00407,free_shipping_threshold,control,2025-07-10
P00408,free_shipping_threshold,control,2025-04-18
P00409,free_shipping_threshold,control,2025-09-27
P00410,free_shipping_threshold,treatment,2025-05-01
P00411,free_shipping_threshold,treatment,2025-07-29
P00412,free_shipping_threshold,treatment,2025-05-14
P00413,free_shipping_threshold,control,2025-03-18
P00414,free_shipping_threshold,control,2025-08-08
P00415,free_shipping_threshold,treatment,2025-07-01
P00416,free_shipping_threshold,control,2025-06-19
P00417,free_shipping_threshold,treatment,2025-07-30
P00418,free_shipping_threshold,treatment,2025-09-01
P00419,free_shipping_threshold,control,2025-06-18
P00420,free_shipping_threshold,treatment,2025-06-02
P00421,free_shipping_threshold,treatment,2025-06-16
P00422,free_shipping_threshold,control,2025-01-10
P00423,free_shipping_threshold,treatment,2025-09-30
P00424,free_shipping_threshold,treatment,2025-01-03
P00425,free_shipping_threshold,treatment,2025-03-27
P00426,free_shipping_threshold,treatment,2025-10-19
P00427,free_shipping_threshold,control,2025-06-12
P00428,free_shipping_threshold,control,2025-05-05
P00429,free_shipping_threshold,control,2025-09-16
P00430,free_shipping_threshold,treatment,2025-10-03
P00431,free_shipping_threshold,control,2025-07-17
P00432,free_shipping_threshold,control,2025-08-06
P00433,free_shipping_threshold,treatment,2025-03-17
P00434,free_shipping_threshold,treatment,2025-08-07
P00435,free_shipping_threshold,control,2025-06-26
P00436,free_shipping_threshold,treatment,2025-04-01
P00437,free_shipping_threshold,control,2025-02-25
P00438,free_shipping_threshold,control,2025-01-04
P00439,free_shipping_threshold,control,2025-06-22
P00440,free_shipping_threshold,treatment,2025-01-02
P00441,free_shipping_threshold,treatment,2025-07-08
P00442,free_shipping_threshold,treatment,2025-02-11
P00443,free_shipping_threshold,treatment,2025-09-16
P00444,free_shipping_threshold,treatment,2025-02-15
P00445,free_shipping_threshold,control,2025-07-14
P00446,free_shipping_threshold,control,2025-09-24
P00447,free_shipping_threshold,treatment,2025-03-05
P00448,free_shipping_threshold,control,2025-04-18
P00449,free_shipping_threshold,control,2025-06-15
P00450,free_shipping_threshold,control,2025-04-11
P00451,free_shipping_threshold,treatment,2025-03-03
P00452,free_shipping_threshold,treatment,2025-04-03
P00453,free_shipping_threshold,control,2025-10-02
P00454,free_shipping_threshold,treatment,2025-03-02
P00455,free_shipping_threshold,control,2025-07-06
P00456,free_shipping_threshold,control,2025-06-10
P00457,free_shipping_threshold,treatment,2025-04-15
P00458,free_shipping_threshold,control,2025-09-20
P00459,free_shipping_threshold,control,2025-08-13
P00460,free_shipping_threshold,treatment,2025-06-06
P00461,free_shipping_threshold,control,2025-08-06
P00462,free_shipping_threshold,control,2025-01-04
P00463,free_shipping_threshold,control,2025-09-26
P00464,free_shipping_threshold,control,2025-05-08
P00465,free_shipping_threshold,control,2025-08-26
P00466,free_shipping_threshold,treatment,2025-04-12
P00467,free_shipping_threshold,treatment,2025-05-18
P00468,free_shipping_threshold,treatment,2025-07-19
P00469,free_shipping_threshold,treatment,2025-03-18
P00470,free_shipping_threshold,treatment,2025-08-30
P00471,free_shipping_threshold,treatment,2025-04-08
P00472,free_shipping_threshold,treatment,2025-03-07
P00473,free_shipping_threshold,control,2025-08-03
P00474,free_shipping_threshold,treatment,2025-03-10
P00475,free_shipping_threshold,treatment,2025-10-26
P00476,free_shipping_threshold,control,2025-10-25
P00477,free_shipping_threshold,treatment,2025-10-19
P00478,free_shipping_threshold,treatment,2025-06-07
P00479,free_shipping_threshold,treatment,2025-08-01
P00480,free_shipping_threshold,control,2025-03-28
P00481,free_shipping_threshold,treatment,2025-03-17
P00482,free_shipping_threshold,treatment,2025-03-07
P00483,free_shipping_threshold,control,2025-09-12
P00484,free_shipping_threshold,treatment,2025-02-14
P00485,free_shipping_threshold,treatment,2025-03-22
P00486,free_shipping_threshold,control,2025-07-30
P00487,free_shipping_threshold,treatment,2025-07-20
P00488,free_shipping_threshold,control,2025-07-10
P00489,free_shipping_threshold,treatment,2025-06-08
P00490,free_shipping_threshold,control,2025-07-02
P00491,free_shipping_threshold,control,2025-06-08
P00492,free_shipping_threshold,control,2025-08-15
P00493,free_shipping_threshold,control,2025-07-07
P00494,free_shipping_threshold,treatment,2025-02-25
P00495,free_shipping_threshold,treatment,2025-05-23
P00496,free_shipping_threshold,control,2025-01-12
P00497,free_shipping_threshold,treatment,2025-05-13
P00498,free_shipping_threshold,treatment,2025-10-20
P00499,free_shipping_threshold,treatment,2025-06-12
P00500,free_shipping_threshold,control,2025-08-19
P00501,free_shipping_threshold,treatment,2025-01-08
P00502,free_shipping_threshold,treatment,2025-06-21
P00503,free_shipping_threshold,control,2025-02-20
P00504,free_shipping_threshold,control,2025-08-16
P00505,free_shipping_threshold,treatment,2025-08-26
P00506,free_shipping_threshold,control,2025-07-21
P00507,free_shipping_threshold,control,2025-10-06
P00508,free_shipping_threshold,treatment,2025-06-02
P00509,free_shipping_threshold,treatment,2025-02-09
P00510,free_shipping_threshold,treatment,2025-10-07
P00511,free_shipping_threshold,treatment,2025-04-22
P00512,free_shipping_threshold,control,2025-08-12
P00513,free_shipping_threshold,treatment,2025-06-09
P00514,free_shipping_threshold,control,2025-08-08
P00515,free_shipping_threshold,treatment,2025-04-12
P00516,free_shipping_threshold,control,2025-10-22
P00517,free_shipping_threshold,control,2025-02-18
P00518,free_shipping_threshold,control,2025-10-03
P00519,free_shipping_threshold,control,2025-07-31
P00520,free_shipping_threshold,control,2025-09-28
P00521,free_shipping_threshold,control,2025-04-14
P00522,free_shipping_threshold,treatment,2025-04-06
P00523,free_shipping_threshold,treatment,2025-02-26
P00524,free_shipping_threshold,treatment,2025-03-29
P00525,free_shipping_threshold,treatment,2025-06-21
P00526,free_shipping_threshold,treatment,2025-09-05
P00527,free_shipping_threshold,treatment,2025-06-08
P00528,free_shipping_threshold,treatment,2025-03-17
P00529,free_shipping_threshold,control,2025-03-30
P00530,free_shipping_threshold,treatment,2025-10-14
P00531,free_shipping_threshold,treatment,2025-05-31
P00532,free_shipping_threshold,treatment,2025-03-11
P00533,free_shipping_threshold,treatment,2025-03-05
P00534,free_shipping_threshold,treatment,2025-09-10
P00535,free_shipping_threshold,treatment,2025-02-02
P00536,free_shipping_threshold,treatment,2025-06-14
P00537,free_shipping_threshold,control,2025-08-11
P00538,free_shipping_threshold,treatment,2025-02-06
P00539,free_shipping_threshold,treatment,2025-02-04
P00540,free_shipping_threshold,treatment,2025-05-01
P00541,free_shipping_threshold,control,2025-09-03
P00542,free_shipping_threshold,control,2025-04-11
P00543,free_shipping_threshold,treatment,2025-07-08
P00544,free_shipping_threshold,control,2025-07-02
P00545,free_shipping_threshold,control,2025-10-05
P00546,free_shipping_threshold,treatment,2025-03-14
P00547,free_shipping_threshold,control,2025-01-10
P00548,free_shipping_threshold,control,2025-06-22
P00549,free_shipping_threshold,control,2025-01-30
P00550,free_shipping_threshold,treatment,2025-05-02
P00551,free_shipping_threshold,treatment,2025-07-05
P00552,free_shipping_threshold,control,2025-01-19
P00553,free_shipping_threshold,treatment,2025-05-22
P00554,free_shipping_threshold,treatment,2025-09-19
P00555,free_shipping_threshold,treatment,2025-03-18
P00556,free_shipping_threshold,control,2025-08-30
P00557,free_shipping_threshold,control,2025-06-11
P00558,free_shipping_threshold,control,2025-03-06
P00559,free_shipping_threshold,control,2025-07-18
P00560,free_shipping_threshold,treatment,2025-01-24
P00561,free_shipping_threshold,control,2025-03-19
P00562,free_shipping_threshold,treatment,2025-06-02
P00563,free_shipping_threshold,treatment,2025-04-18
P00564,free_shipping_threshold,treatment,2025-04-15
P00565,free_shipping_threshold,treatment,2025-08-10
P00566,free_shipping_threshold,control,2025-08-21
P00567,free_shipping_threshold,control,2025-10-13
P00568,free_shipping_threshold,treatment,2025-10-26
P00569,free_shipping_threshold,treatment,2025-06-01
P00570,free_shipping_threshold,treatment,2025-06-15
P00571,free_shipping_threshold,treatment,2025-07-11
P00572,free_shipping_threshold,treatment,2025-10-23
P00573,free_shipping_threshold,control,2025-09-12
P00574,free_shipping_threshold,control,2025-03-15
P00575,free_shipping_threshold,control,2025-06-10
P00576,free_shipping_threshold,control,2025-03-07
P00577,free_shipping_threshold,treatment,2025-06-12
P00578,free_shipping_threshold,control,2025-06-29
P00579,free_shipping_threshold,treatment,2025-04-14
