order_id,customer_id,prospect_id,order_date,market,acquisition_channel,category,order_status,gross_revenue,discount_amount,refund_amount,product_cost,delivery_cost,payment_cost,fulfillment_cost,attributed_marketing_cost,net_revenue,contribution_margin
O000053,C00037,P00156,2025-07-13,LT,Paid Search,Electronics,completed,87.83,4.39,0,59.66,5.71,1.78,2.23,0.5,83.44,13.56
O000054,C00038,P00159,2025-07-21,LT,Organic Search,Beauty,completed,17.43,0.0,0,7.33,4.22,0.51,2.3,5.05,17.43,-1.98
O000055,C00038,P00159,2025-09-04,LT,Organic Search,Beauty,completed,42.51,0.0,0,19.1,6.26,0.97,2.53,0.15,42.51,13.5
O000056,C00039,P00161,2025-04-24,EE,Paid Search,Electronics,completed,150.67,10.55,0,102.08,6.02,2.91,2.29,19.31,140.12,7.51
O000057,C00040,P00164,2025-09-06,LT,Paid Social,Beauty,completed,42.34,2.12,0,19.3,6.4,0.96,1.95,26.34,40.22,-14.73
O000058,C00040,P00164,2025-10-23,LT,Paid Social,Pet Care,completed,44.51,0.0,0,23.83,5.11,1.0,2.72,0.79,44.51,11.06
O000059,C00041,P00166,2025-06-15,LV,Paid Search,Sports,completed,87.59,6.13,0,53.16,4.13,1.78,2.19,17.04,81.46,3.16
O000060,C00041,P00166,2025-07-08,LV,Paid Search,Sports,completed,41.1,0.0,0,24.24,4.48,0.94,1.9,0.51,41.1,9.03
O000061,C00042,P00169,2025-07-13,EE,Affiliate,Beauty,completed,48.02,0.0,0,21.69,5.45,1.06,2.71,12.76,48.02,4.35
O000062,C00043,P00172,2025-03-01,LT,Affiliate,Beauty,completed,28.3,0.0,0,12.73,4.21,0.71,2.5,15.77,28.3,-7.62
O000063,C00044,P00173,2025-08-03,LT,CRM,Sports,completed,55.56,0.0,0,34.65,4.65,1.2,2.01,5.42,55.56,7.63
O000064,C00045,P00174,2025-02-04,EE,Paid Search,Pet Care,completed,22.08,1.1,0,11.95,6.55,0.6,1.99,17.72,20.98,-17.83
O000065,C00045,P00174,2025-03-12,EE,Paid Search,Pet Care,completed,50.67,2.53,37.82,25.45,6.62,1.11,2.52,0.53,10.32,-25.91
O000066,C00046,P00175,2025-07-10,LV,Paid Social,Home,completed,53.69,0.0,0,31.71,4.01,1.17,2.34,23.22,53.69,-8.76
O000067,C00046,P00175,2025-08-09,LV,Paid Social,Home,completed,59.89,4.19,0,35.27,4.26,1.28,2.07,0.7,55.7,12.12
O000068,C00046,P00175,2025-08-27,LV,Paid Social,Home,completed,27.18,0.0,0,15.5,4.35,0.69,2.01,0.7,27.18,3.93
O000069,C00047,P00176,2025-06-26,EE,Paid Social,Home,completed,43.03,4.3,0,24.92,5.34,0.97,2.02,23.42,38.73,-17.94
O000070,C00048,P00180,2025-06-01,LT,CRM,Sports,completed,85.19,5.96,0,50.99,6.13,1.73,2.55,3.9,79.23,13.93
O000071,C00049,P00186,2025-03-27,LV,Paid Social,Sports,completed,70.32,4.92,0,43.02,4.28,1.47,2.05,21.21,65.4,-6.63
O000072,C00049,P00186,2025-04-15,LV,Paid Social,Beauty,completed,51.93,2.6,0,21.6,5.25,1.13,2.28,0.64,49.33,18.43
O000073,C00050,P00187,2025-08-04,LV,Organic Search,Electronics,completed,87.47,4.37,0,60.61,4.01,1.77,2.04,4.83,83.1,9.84
O000074,C00051,P00188,2025-02-26,LV,Paid Search,Sports,completed,88.49,8.85,0,52.48,4.41,1.79,2.28,19.29,79.64,-0.61
O000075,C00051,P00188,2025-03-27,LV,Paid Search,Beauty,completed,54.79,5.48,0,23.47,4.49,1.19,2.24,0.58,49.31,17.34
O000076,C00051,P00188,2025-05-27,LV,Paid Search,Sports,completed,80.91,0.0,0,50.11,3.65,1.66,2.02,0.58,80.91,22.89
O000077,C00052,P00191,2025-09-04,LT,Paid Social,Electronics,completed,84.45,5.91,0,59.14,5.85,1.72,2.24,30.42,78.54,-20.83
O000078,C00052,P00191,2025-10-02,LT,Paid Social,Sports,completed,59.23,4.15,0,35.99,5.17,1.27,2.27,0.91,55.08,9.47
O000079,C00053,P00200,2025-07-15,LV,Paid Search,Electronics,completed,58.72,4.11,0,41.29,3.2,1.26,2.48,20.94,54.61,-14.56
O000080,C00054,P00204,2025-02-07,LV,CRM,Beauty,completed,55.06,0.0,0,24.92,4.37,1.19,2.0,4.14,55.06,18.44
O000081,C00055,P00209,2025-06-11,LV,Paid Social,Home,completed,80.51,5.64,56.74,44.76,4.52,1.65,2.62,17.54,18.13,-52.96
O000082,C00055,P00209,2025-07-28,LV,Paid Social,Electronics,completed,175.04,12.25,0,118.25,5.53,3.35,2.03,0.53,162.79,33.1
O000083,C00056,P00210,2025-06-26,LT,Affiliate,Beauty,completed,41.84,2.09,0,18.06,4.25,0.95,2.49,17.22,39.75,-3.22
O000084,C00057,P00214,2025-10-04,LV,Paid Search,Sports,completed,77.35,5.41,0,45.02,3.1,1.59,2.41,18.9,71.94,0.92
O000085,C00058,P00215,2025-04-29,EE,Paid Search,Sports,completed,74.08,5.19,0,44.0,5.51,1.53,2.71,16.47,68.89,-1.33
O000086,C00059,P00220,2025-03-27,LT,Organic Search,Beauty,completed,60.94,6.09,0,27.96,4.86,1.3,2.58,5.14,54.85,13.01
O000087,C00060,P00225,2025-03-12,LT,CRM,Electronics,completed,119.78,5.99,0,83.68,4.34,2.36,1.98,4.86,113.79,16.57
O000088,C00061,P00230,2025-08-15,LT,CRM,Home,completed,64.78,0.0,0,37.58,4.46,1.37,2.16,5.57,64.78,13.64
O000089,C00062,P00231,2025-05-18,LV,Paid Social,Pet Care,completed,15.06,0.75,0,8.03,4.21,0.47,1.94,22.15,14.31,-22.49
O000090,C00063,P00232,2025-05-24,LT,Affiliate,Pet Care,completed,51.43,2.57,37.22,26.95,5.51,1.13,2.45,12.8,11.64,-37.2
O000091,C00064,P00233,2025-08-06,EE,Paid Social,Electronics,completed,101.6,7.11,0,72.33,5.34,2.03,1.91,24.01,94.49,-11.13
O000092,C00065,P00234,2025-10-18,LT,Paid Social,Home,completed,43.18,4.32,0,23.96,4.92,0.98,2.48,23.01,38.86,-16.49
O000093,C00066,P00238,2025-02-12,LV,Paid Social,Sports,completed,58.51,5.85,0,34.44,4.06,1.25,2.77,23.47,52.66,-13.33
O000094,C00067,P00240,2025-03-11,LV,Paid Search,Home,completed,64.52,4.52,0,35.88,3.51,1.36,2.46,19.65,60.0,-2.86
O000095,C00068,P00242,2025-10-01,LT,Paid Social,Home,completed,39.9,3.99,36.77,21.89,5.73,0.92,2.07,27.21,-0.86,-58.68
O000096,C00069,P00243,2025-05-08,EE,Paid Search,Electronics,completed,153.41,10.74,0,105.08,7.04,2.96,2.68,18.75,142.67,6.16
O000097,C00070,P00247,2025-04-06,LV,Organic Search,Electronics,completed,97.42,0.0,0,65.85,5.5,1.95,2.6,5.14,97.42,16.38
O000098,C00071,P00249,2025-09-06,LV,CRM,Beauty,completed,58.35,4.08,0,26.95,3.49,1.25,2.23,3.75,54.27,16.6
O000099,C00071,P00249,2025-09-26,LV,CRM,Sports,completed,128.71,9.01,0,77.43,3.15,2.52,2.37,0.11,119.7,34.12
O000100,C00072,P00250,2025-10-23,LT,Organic Search,Sports,completed,82.13,5.75,0,48.55,4.42,1.68,2.39,4.67,76.38,14.67
O000101,C00072,P00250,2025-12-10,LT,Organic Search,Sports,completed,37.14,3.71,0,22.32,6.51,0.87,2.17,0.14,33.43,1.42
O000102,C00073,P00251,2025-10-11,EE,Organic Search,Beauty,completed,37.25,0.0,0,16.74,5.49,0.87,2.72,4.67,37.25,6.76
O000103,C00074,P00252,2025-01-29,LV,CRM,Home,completed,94.48,0.0,0,54.3,4.97,1.9,2.1,4.26,94.48,26.95
O000104,C00075,P00262,2025-04-27,EE,Organic Search,Beauty,completed,27.1,0.0,0,12.6,7.17,0.69,2.03,4.04,27.1,0.57
O000105,C00076,P00274,2025-08-21,LT,Paid Search,Beauty,completed,20.98,0.0,0,8.82,4.93,0.58,2.05,22.37,20.98,-17.77
O000106,C00077,P00275,2025-01-19,EE,CRM,Beauty,completed,56.75,5.68,0,23.8,6.8,1.22,2.44,4.05,51.07,12.76
O000107,C00077,P00275,2025-02-14,EE,CRM,Home,completed,12,0,0,6.88,4.71,0.42,2.47,0.12,12,-2.6
O000108,C00078,P00277,2025-04-14,LT,Organic Search,Electronics,completed,131.85,6.59,0,94.25,4.4,2.57,2.33,5.73,125.26,15.98
O000109,C00079,P00280,2025-09-12,LV,Paid Search,Home,completed,75.76,3.79,0,44.23,3.61,1.56,2.68,23.82,71.97,-3.93
O000110,C00079,P00280,2025-10-12,LV,Paid Search,Home,completed,17.31,0.87,0,9.44,4.79,0.51,2.52,0.71,16.44,-1.53
O000111,C00080,P00281,2025-01-12,LV,CRM,Home,completed,75.59,0.0,0,44.24,4.26,1.56,2.05,4.53,75.59,18.95
O000112,C00081,P00284,2025-08-27,LV,Paid Social,Electronics,completed,89.12,6.24,0,63.58,4.3,1.8,2.01,25.1,82.88,-13.91
O000113,C00081,P00284,2025-09-28,LV,Paid Social,Electronics,completed,144.68,10.13,0,102.15,4.22,2.8,2.78,0.75,134.55,21.85
O000114,C00082,P00285,2025-10-06,LT,Paid Social,Sports,completed,56.0,0.0,0,34.36,4.63,1.21,2.34,23.38,56.0,-9.92
O000115,C00083,P00293,2025-02-09,LT,Paid Search,Beauty,completed,55.5,2.78,0,23.2,4.77,1.2,2.05,24.98,52.72,-3.48
O000116,C00084,P00295,2025-07-09,EE,CRM,Pet Care,completed,39.99,2.0,0,20.13,6.58,0.92,2.66,3.55,37.99,4.15
O000117,C00084,P00295,2025-08-05,EE,CRM,Beauty,completed,44.43,0.0,0,20.49,4.98,1.0,2.52,0.11,44.43,15.33
O000118,C00084,P00295,2025-09-11,EE,CRM,Beauty,completed,47.47,0.0,0,20.96,5.36,1.05,1.99,0.11,47.47,18.0
O000119,C00085,P00296,2025-10-27,LV,Paid Search,Electronics,completed,84.08,5.89,0,59.8,3.77,1.71,1.93,18.0,78.19,-7.02
O000120,C00086,P00297,2025-03-03,EE,Organic Search,Sports,completed,86.56,6.06,0,52.66,6.87,1.76,2.13,6.14,80.5,10.94
O000121,C00087,P00305,2025-03-14,LT,Paid Search,Electronics,completed,36.84,0.0,0,25.65,4.65,0.86,2.78,22.8,36.84,-19.9
O000122,C00088,P00307,2025-01-21,LT,Paid Social,Pet Care,completed,33.84,1.69,0,17.1,5.98,0.81,2.37,26.67,32.15,-20.78
O000123,C00088,P00307,2025-02-10,LT,Paid Social,Sports,completed,98.06,6.86,0,58.09,5.03,1.97,2.11,0.8,91.2,23.2
O000124,C00089,P00309,2025-01-23,LV,Paid Search,Sports,completed,101.51,7.11,0,59.38,5.23,2.03,2.19,17.55,94.4,8.02
O000125,C00090,P00313,2025-05-07,LV,Paid Social,Pet Care,completed,37.63,0.0,0,18.78,3.99,0.88,2.52,20.59,37.63,-9.13
O000126,C00091,P00314,2025-06-06,LT,Paid Search,Home,completed,38.14,0.0,0,21.3,6.44,0.89,2.39,12.85,38.14,-5.73
O000127,C00091,P00314,2025-07-15,LT,Paid Search,Electronics,completed,40.39,0.0,31.67,28.2,3.5,0.93,2.23,0.39,8.72,-26.53
O000128,C00092,P00317,2025-02-03,LT,CRM,Pet Care,completed,37.49,0.0,0,19.57,3.63,0.87,2.21,4.0,37.49,7.21
O000129,C00093,P00323,2025-09-03,EE,Paid Social,Sports,completed,80.05,4.0,0,49.86,5.39,1.64,2.25,27.65,76.05,-10.74
O000130,C00094,P00333,2025-10-10,LT,Affiliate,Beauty,completed,52.63,2.63,49.21,22.43,4.72,1.15,2.03,14.93,0.79,-44.47
O000131,C00095,P00334,2025-01-10,LV,CRM,Sports,completed,83.53,0.0,0,50.83,2.91,1.7,2.03,4.56,83.53,21.5
O000132,C00096,P00337,2025-06-10,LT,Paid Social,Sports,completed,78.72,5.51,0,49.14,4.08,1.62,2.67,21.48,73.21,-5.78
O000133,C00097,P00341,2025-03-10,LV,Paid Social,Beauty,completed,43.66,0.0,0,18.87,5.5,0.99,2.39,28.75,43.66,-12.84
O000134,C00098,P00343,2025-02-26,LV,Organic Search,Sports,completed,77.48,0.0,73.06,45.9,4.51,1.59,1.92,5.54,4.42,-55.04
O000135,C00099,P00346,2025-06-22,EE,Paid Search,Sports,completed,27.61,2.76,0,16.19,5.74,0.7,1.98,19.34,24.85,-19.1
O000136,C00100,P00347,2025-06-27,LT,Organic Search,Home,completed,76.53,0.0,0,43.62,5.05,1.58,2.64,5.34,76.53,18.3
O000137,C00101,P00355,2025-01-28,LV,Affiliate,Beauty,completed,63.95,0.0,0,28.96,3.31,1.35,2.67,19.55,63.95,8.11
O000138,C00101,P00355,2025-02-28,LV,Affiliate,Pet Care,completed,36.26,0.0,0,18.84,5.32,0.85,2.73,0.59,36.26,7.93
O000139,C00101,P00355,2025-04-18,LV,Affiliate,Sports,completed,70.38,0.0,0,42.4,3.35,1.47,2.53,0.59,70.38,20.04
O000140,C00102,P00356,2025-07-25,LT,CRM,Beauty,completed,35.16,1.76,0,14.94,4.06,0.83,2.06,4.26,33.4,7.25
O000141,C00103,P00357,2025-04-28,LV,Paid Search,Beauty,completed,42.34,2.12,0,18.05,4.52,0.96,2.75,19.28,40.22,-5.34
O000142,C00104,P00363,2025-09-09,LV,Affiliate,Electronics,completed,160.74,0.0,0,109.4,4.47,3.09,2.03,20.61,160.74,21.14
O000143,C00105,P00364,2025-10-27,LT,CRM,Electronics,completed,100.99,10.1,0,68.94,4.18,2.02,2.65,3.43,90.89,9.67
O000144,C00106,P00365,2025-08-20,LV,Paid Search,Home,completed,47.38,0.0,0,26.77,3.43,1.05,2.09,17.54,47.38,-3.5
O000145,C00107,P00367,2025-02-16,LV,Paid Search,Beauty,completed,32.86,1.64,0,15.25,5.24,0.79,2.17,18.26,31.22,-10.49
O000146,C00107,P00367,2025-03-08,LV,Paid Search,Beauty,completed,51.46,0.0,0,22.55,4.48,1.13,2.63,0.55,51.46,20.12
O000147,C00108,P00368,2025-08-25,LT,Paid Search,Sports,completed,86.75,6.07,0,49.96,4.65,1.76,1.91,24.19,80.68,-1.79
O000148,C00108,P00368,2025-10-01,LT,Paid Search,Pet Care,completed,31.16,1.56,0,16.5,4.88,0.76,2.51,0.73,29.6,4.22
O000149,C00109,P00370,2025-08-05,LV,CRM,Sports,completed,51.67,0.0,0,31.6,4.36,1.13,1.93,3.69,51.67,8.96
O000150,C00110,P00371,2025-10-23,LV,Paid Search,Sports,completed,87.9,8.79,0,52.26,4.84,1.78,2.75,16.1,79.11,1.38
O000151,C00110,P00371,2025-12-01,LV,Paid Search,Home,completed,45.7,0.0,0,25.26,4.95,1.02,2.61,0.48,45.7,11.38
O000152,C00111,P00374,2025-02-22,EE,Paid Search,Electronics,completed,150.59,7.53,0,103.17,7.16,2.91,2.59,22.98,143.06,4.25
O000153,C00112,P00377,2025-01-19,EE,Paid Search,Pet Care,completed,46.81,4.68,0,23.51,5.24,1.04,2.48,18.46,42.13,-8.6
O000154,C00113,P00385,2025-03-03,EE,Organic Search,Home,completed,77.24,5.41,0,45.46,5.26,1.59,2.42,5.6,71.83,11.5
O000155,C00113,P00385,2025-04-09,EE,Organic Search,Beauty,completed,45.78,2.29,0,20.53,5.93,1.02,2.56,0.17,43.49,13.28
O000156,C00114,P00389,2025-04-03,LT,Affiliate,Home,completed,72.26,7.23,0,41.96,4.51,1.5,1.99,14.23,65.03,0.84
O000157,C00115,P00390,2025-05-02,LV,Paid Search,Beauty,completed,39.31,0.0,0,17.59,3.05,0.91,2.41,18.61,39.31,-3.26
O000158,C00116,P00393,2025-08-10,EE,CRM,Pet Care,completed,65.05,4.55,0,34.39,4.55,1.37,2.71,5.38,60.5,12.1
O000159,C00117,P00395,2025-04-09,LT,Paid Search,Beauty,completed,35.26,3.53,0,14.83,3.85,0.83,2.35,16.96,31.73,-7.09
O000160,C00118,P00401,2025-07-13,LV,Affiliate,Pet Care,completed,20.71,2.07,0,10.9,4.9,0.57,2.32,14.99,18.64,-15.04
O000161,C00119,P00403,2025-01-23,LT,Paid Search,Electronics,completed,89.86,6.29,0,63.17,4.14,1.82,2.21,19.02,83.57,-6.79
O000162,C00120,P00406,2025-01-04,LV,Paid Social,Home,completed,66.37,4.65,0,38.93,4.42,1.39,2.49,27.54,61.72,-13.05
O000163,C00121,P00407,2025-07-10,EE,Paid Social,Pet Care,completed,37.98,3.8,0,19.08,5.0,0.88,2.47,22.58,34.18,-15.83
O000164,C00122,P00411,2025-07-29,LT,Paid Social,Beauty,completed,36.3,0.0,0,15.42,4.55,0.85,2.17,23.51,36.3,-10.2
O000165,C00123,P00416,2025-06-19,EE,Paid Search,Electronics,completed,101.33,0.0,0,68.75,5.37,2.02,2.16,14.61,101.33,8.42
O000166,C00124,P00420,2025-06-02,LV,Organic Search,Electronics,completed,84.31,5.9,0,57.83,3.6,1.72,2.79,3.61,78.41,8.86
O000167,C00125,P00421,2025-06-16,LV,Paid Search,Sports,completed,89.64,6.27,0,51.85,4.22,1.81,2.12,14.57,83.37,8.8
O000168,C00126,P00425,2025-03-27,LV,CRM,Beauty,completed,40.01,2.0,0,17.34,3.5,0.92,2.1,3.43,38.01,10.72
O000169,C00127,P00428,2025-05-05,LV,Paid Search,Home,completed,48.83,2.44,45.27,27.63,4.61,1.08,2.58,17.51,1.12,-52.29
O000170,C00127,P00428,2025-05-30,LV,Paid Search,Pet Care,completed,52.62,2.63,0,26.63,5.52,1.15,2.37,0.53,49.99,13.79
O000171,C00127,P00428,2025-07-20,LV,Paid Search,Home,completed,89.16,8.92,0,49.15,3.66,1.8,2.39,0.53,80.24,22.71
O000172,C00127,P00428,2025-07-19,LV,Paid Search,Home,completed,48.32,0.0,0,27.07,5.08,1.07,2.77,0.53,48.32,11.8
O000173,C00128,P00430,2025-10-03,LV,Affiliate,Home,completed,59.49,4.16,0,33.6,4.51,1.27,2.25,13.67,55.33,0.03
O000174,C00129,P00444,2025-02-15,LV,Paid Search,Pet Care,completed,17.2,0.0,0,9.26,5.61,0.51,2.59,22.52,17.2,-23.29
O000175,C00129,P00444,2025-03-18,LV,Paid Search,Sports,completed,50.49,2.52,0,29.32,2.99,1.11,1.98,0.68,47.97,11.89
O000176,C00130,P00448,2025-04-18,LV,CRM,Electronics,completed,76.95,7.7,0,53.45,4.19,1.59,2.15,4.43,69.25,3.44
O000177,C00131,P00450,2025-04-11,LV,Paid Search,Home,completed,55.18,5.52,0,31.5,3.37,1.19,2.29,20.71,49.66,-9.4
O000178,C00131,P00450,2025-05-21,LV,Paid Search,Home,completed,89.13,0.0,0,51.9,5.38,1.8,2.79,0.62,89.13,26.64
O000179,C00132,P00456,2025-06-10,LT,Paid Search,Beauty,completed,32.9,0.0,0,14.08,5.03,0.79,2.05,18.28,32.9,-7.33
O000180,C00133,P00457,2025-04-15,LT,Affiliate,Electronics,completed,95.26,6.67,0,65.87,5.15,1.91,2.72,14.12,88.59,-1.18
O000181,C00133,P00457,2025-05-15,LT,Affiliate,Home,completed,74.34,7.43,0,40.97,4.85,1.54,2.69,0.42,66.91,16.44
O000182,C00133,P00457,2025-06-26,LT,Affiliate,Electronics,completed,130.78,9.15,0,89.39,5.48,2.55,2.25,0.42,121.63,21.54
O000183,C00134,P00467,2025-05-18,LV,Paid Social,Electronics,completed,114.51,11.45,0,77.97,4.13,2.26,2.35,21.87,103.06,-5.52
O000184,C00135,P00468,2025-07-19,LT,Affiliate,Sports,completed,82.61,8.26,0,50.89,4.36,1.69,2.54,14.17,74.35,0.7
O000185,C00136,P00469,2025-03-18,LV,CRM,Beauty,completed,44.08,0.0,30.35,19.09,5.63,0.99,2.54,3.95,13.73,-18.47
O000186,C00137,P00470,2025-08-30,LV,CRM,Home,completed,34.1,1.71,0,19.22,3.84,0.81,2.09,4.0,32.39,2.43
O000187,C00138,P00473,2025-08-03,LT,Affiliate,Beauty,completed,35.04,1.75,0,15.91,4.66,0.83,2.14,17.04,33.29,-7.29
